gdof_sigma,gdof_u,gdof_d,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,reaction_y,disp_y,step,iters,converged,err_u,err_d
17120,12120,2150,0.0,0.0,-0.0,-0.0,y,0.0,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,0.0,0.0,2.7365522920154035,2.7078203856945038e-06,0.3503248328343034,0.31476120790466666,0.017736291978508234,0.0027720839716494083,-0.0,0.0,0,1,True,0.0,0.0
17120,12120,2150,0.018193821539850722,0.2636194451287732,-6.081114009001174,-6.081114009001174,y,0.014000000000000002,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.264903665044727e-12,3.0224343097162516e-15,2.527810291852802,8.041970431804657e-06,1.0894790827296674,1.320274165365845,0.07035324955359101,0.011297084391117096,-6.081114009001174,0.014000000000000002,1,4,True,2.504222294907122e-07,9.429787575564347e-07
17120,12120,2150,0.07065439902650134,1.0045883200269525,-11.48960376505732,-11.48960376505732,y,0.028000000000000004,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.588163681636468e-12,2.5972667258513295e-15,3.310563249979168,2.5830231606960297e-06,1.4935910841450095,1.670829499606043,0.09643666679039598,0.015582249499857426,-11.48960376505732,0.028000000000000004,2,5,True,1.313939511273984e-06,3.8014281765008204e-06
17120,12120,2150,0.15150732400755856,2.2078278179795885,-15.722585660774609,-15.722585660774609,y,0.04200000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.502610565619205e-12,2.359458321723247e-15,4.472934999968857,2.209097146987915e-06,1.9278165395371616,2.3571898764930665,0.13011404313147068,0.020920000970363617,-15.722585660774609,0.04200000000000001,3,7,True,7.939310920119438e-07,2.2751205247537157e-06
17120,12120,2150,0.2531037583984058,4.09552505156102,-18.53509570818833,-18.53509570818833,y,0.05600000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.1354257024603878e-12,2.2008674355064928e-15,5.586698208004236,2.500135451555252e-06,2.387737625744194,2.9768872926943004,0.1569083333015442,0.026029498782008886,-18.53509570818833,0.05600000000000001,4,9,True,1.9071681088324575e-06,5.075653700407601e-06
17120,12120,2150,0.3718604380554316,7.173250336392232,-19.891187421259282,-19.891187421259282,y,0.07,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.624269536965156e-12,1.957317229565629e-15,8.207088666968048,2.709217369556427e-06,3.619535499252379,4.263442288618535,0.23858895618468523,0.04027145588770509,-19.891187421259282,0.07,5,13,True,2.5003227779402163e-06,6.175082103898035e-06
17120,12120,2150,0.3922129816648349,7.791827314355331,-19.992475413148206,-19.992475413148206,y,0.0722,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.369088640047915e-12,1.929123942848024e-15,12.345492042135447,2.0423904061317444e-06,5.508135250769556,6.360320792067796,0.3637696234509349,0.06079766945913434,-19.992475413148206,0.0722,6,20,True,2.962118838183239e-06,7.424470361810011e-06
17120,12120,2150,0.4144953968466601,8.389408771131189,-20.024497728991705,-20.024497728991705,y,0.07440000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.041115467547684e-12,1.8430825131773605e-15,16.819307416677475,2.3748725652694702e-06,7.498700877185911,8.690660709980875,0.4896260844543576,0.07855341769754887,-20.024497728991705,0.07440000000000001,7,27,True,2.809147656634558e-06,7.00553368298939e-06
17120,12120,2150,0.4363533700096369,9.17621810691531,-19.979111817733546,-19.979111817733546,y,0.0766,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.404293809812459e-12,1.90845290342942e-15,22.6602561250329,2.500135451555252e-06,9.48812475334853,12.35419929260388,0.6482664570212364,0.10214446019381285,-19.979111817733546,0.0766,8,35,True,3.36872001115265e-06,8.623853178223075e-06
17120,12120,2150,0.46299455930647904,9.77821834536176,-19.765361002061105,-19.765361002061105,y,0.07880000000000001,y,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.186577349700148e-12,1.916726550721409e-15,39.11861987505108,2.6668421924114227e-06,15.605879582930356,22.21146412193775,1.0385917155072093,0.17458715848624706,-19.765361002061105,0.07880000000000001,9,61,True,3.3983312101017313e-06,9.252127630548661e-06
