step,load,iter,du_abs,dd_abs,err_u,err_d,max_d,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_iter_s
0,0.0,1,0.0,0.0,0.0,0.0,0.0,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,0.0,0.0,0.6870221658609807
1,0.014000000000000002,1,0.5157150633279238,0.2813903644838274,1.0,1.0,0.018067911272050954,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.42045385166938e-12,3.832170615855245e-15,0.7068013339303434
1,0.014000000000000002,2,0.0010862129723673089,0.0014515666613885586,0.0021062269644752008,0.0051585514097160405,0.018192110990580518,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.747256097261731e-12,3.5153072079383842e-15,0.6256559169851243
1,0.014000000000000002,3,9.999001042759476e-06,1.7210806688414726e-05,1.9388615446358384e-05,6.116345426392132e-05,0.018193793239625344,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.522949692723277e-12,3.879846470264644e-15,0.5946282497607172
1,0.014000000000000002,4,1.2914651594052251e-07,2.653451362893119e-07,2.504222294907122e-07,9.429787575564347e-07,0.018193821539850722,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.264903665044727e-12,3.0224343097162516e-15,0.5677103330381215
2,0.028000000000000004,1,0.515273648133718,0.8056731651293412,1.0,1.0,0.06924529409281016,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.565635253342095e-12,3.062514311380653e-15,0.5986270420253277
2,0.028000000000000004,2,0.006375062169750006,0.015744148710381177,0.01237218746357396,0.0195416074306678,0.07057823597582369,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.692944223885472e-12,3.4514743672128393e-15,0.6837269999086857
2,0.028000000000000004,3,0.00022602681224721916,0.0007252299318117487,0.00043865393284882916,0.000900154011826026,0.07064926633622907,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.4131870731410376e-12,3.3541557020125065e-15,0.6848760838620365
2,0.028000000000000004,4,1.1281746313410639e-05,4.419816655386885e-05,2.189466966586059e-05,5.48586802525232e-05,0.07065405000070767,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.74750048996576e-12,2.9870085014908326e-15,0.6457874588668346
2,0.028000000000000004,5,6.770384054011802e-07,3.062708670973276e-06,1.313939511273984e-06,3.8014281765008204e-06,0.07065439902650134,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.588163681636468e-12,2.5972667258513295e-15,0.6678800829686224
3,0.04200000000000001,1,0.5139344679303061,1.2291869441420313,1.0,1.0,0.1466509667202025,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.64447482489231e-12,3.3476892963164447e-15,0.7183170416392386
3,0.04200000000000001,2,0.015659606063440367,0.051818042224287944,0.030470044413452232,0.0421563558507016,0.15092387751445094,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.676138073789692e-12,3.225256244556158e-15,0.6123512503691018
3,0.04200000000000001,3,0.0012139992563095347,0.0052295905103084215,0.002362167420290953,0.004254511923699824,0.15141944532421922,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.2435523759614046e-12,3.022346075627868e-15,0.6153060831129551
3,0.04200000000000001,4,0.0001331842809864634,0.0007036158784617566,0.0002591464268252277,0.0005724238138185548,0.15149316840935187,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.388676765968881e-12,2.789676126341229e-15,0.6942408750765026
3,0.04200000000000001,5,1.7691347866000847e-05,0.00010731522913203188,3.44233535011704e-05,8.730586477790616e-05,0.15150503904389295,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.461357946394026e-12,2.4052768727632974e-15,0.6113119591027498
3,0.04200000000000001,6,2.620288553468443e-06,1.7150018401846385e-05,5.09848768077524e-06,1.3952327173322723e-05,0.15150699764942194,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.420770318805435e-12,2.6297418300409877e-15,0.6116828336380422
3,0.04200000000000001,7,4.0802855334648515e-07,2.7965484453768345e-06,7.939310920119438e-07,2.2751205247537157e-06,0.15150732400755856,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.502610565619205e-12,2.359458321723247e-15,0.5784360407851636
4,0.05600000000000001,1,0.5115976154616253,1.5166883235736972,1.0,1.0,0.24183412270890228,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.721242523452878e-12,3.020452825283469e-15,0.6238374998793006
4,0.05600000000000001,2,0.02904755787564981,0.11184053448199763,0.05677813382581853,0.0737399587929004,0.2505867453723728,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.373862222298687e-12,3.035863039634335e-15,0.6138372076675296
4,0.05600000000000001,3,0.003969156676047556,0.019797435355365836,0.007758356481912259,0.0130530676920609,0.25234079596846803,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.032931492105365e-12,2.4710037380601487e-15,0.6263997917994857
4,0.05600000000000001,4,0.0007705342702564524,0.00463965340510968,0.001506133427852636,0.003059068453944114,0.25288418175678745,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.923448185496964e-12,2.5475245190515778e-15,0.6422255826182663
4,0.05600000000000001,5,0.00018021686686738755,0.0012196191473314675,0.0003522629140966071,0.0008041330103061252,0.25304027935483026,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.0821449301861123e-12,2.338128823914685e-15,0.6368740838952363
4,0.05600000000000001,6,4.6570520865814194e-05,0.0003364686070210846,9.102958938499475e-05,0.0002218442654244745,0.253085621626122,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.3543284308634974e-12,2.1774161868232292e-15,0.6507385419681668
4,0.05600000000000001,7,1.2606555366751865e-05,9.47250384335154e-05,2.4641544420367762e-05,6.245517748189655e-05,0.25309880926834644,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.099246428015205e-12,2.1406626162087624e-15,0.5819885418750346
4,0.05600000000000001,8,3.4878716453561694e-06,2.6929621911277494e-05,6.817607314703743e-06,1.7755541130444367e-05,0.2531026436469342,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.7746299279888015e-12,2.3175614232029444e-15,0.5943714580498636
4,0.05600000000000001,9,9.757026567631427e-07,7.698184701911837e-06,1.9071681088324575e-06,5.075653700407601e-06,0.2531037583984058,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.1354257024603878e-12,2.2008674355064928e-15,0.584342791698873
5,0.07,1,0.507996220753367,1.6606859165588388,1.0,1.0,0.347531318811935,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.083130468637979e-12,3.013115461107157e-15,0.6007225839421153
5,0.07,2,0.047445813353232814,0.19757586066856625,0.09339796521098104,0.11897244307217923,0.3630453463742534,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.269631977336204e-12,2.4394553371859013e-15,0.6065812092274427
5,0.07,3,0.010328489150729009,0.055029607187990395,0.020331822814373863,0.033136673611358754,0.3681260127153787,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.902621894983607e-12,2.1896906171698315e-15,0.6442052498459816
5,0.07,4,0.003174287874818658,0.01991999524864337,0.00624864466533065,0.011995040753955593,0.3702196934365603,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.868152484918291e-12,1.9690463939521302e-15,0.6444932082667947
5,0.07,5,0.0011641635407443603,0.00802830614086237,0.002291677562124155,0.004834331441491407,0.37113229663359265,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.599517756885939e-12,2.443677890375283e-15,0.5960050839930773
5,0.07,6,0.0004672465168552134,0.003384534821042807,0.0009197834506766189,0.0020380342768583307,0.3715367154634631,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.2593906309173694e-12,2.2696337039950136e-15,0.6157677499577403
5,0.07,7,0.00019534186892611221,0.001455600463523346,0.0003845340987702958,0.0008765055745998876,0.371716797546643,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.107493324090503e-12,1.903778872229101e-15,0.5939138331450522
5,0.07,8,8.325918613730374e-05,0.0006320622835808034,0.00016389725501073405,0.00038060314553068546,0.37179705031451404,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.8807041595067866e-12,1.884905837958143e-15,0.6376010407693684
5,0.07,9,3.582504275820857e-05,0.00027589762737121085,7.052226236069124e-05,0.00016613474265073994,0.37183281331316026,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.619259515375051e-12,1.954830696757711e-15,0.6673863749019802
5,0.07,10,1.54939735407094e-05,0.00012080500100947437,3.0500174819670065e-05,7.274403895698612e-05,0.3718487508882144,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.383045764387045e-12,1.926631617136667e-15,0.6488087079487741
5,0.07,11,6.7200977435322935e-06,5.300758180245578e-05,1.3228637279163759e-05,3.1919089138959225e-05,0.3718558554277325,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.318640856736573e-12,2.1108141352598004e-15,0.6361596249043941
5,0.07,12,2.9197268311465488e-06,2.3296701030394347e-05,5.747536520678332e-06,1.4028360690062451e-05,0.37185902398076887,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.2833995754703036e-12,1.9569229956142044e-15,0.6672982922755182
5,0.07,13,1.27015452185719e-06,1.025487188353799e-05,2.5003227779402163e-06,6.175082103898035e-06,0.3718604380554316,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.624269536965156e-12,1.957317229565629e-15,0.6149717499502003
6,0.0722,1,0.07896039351163313,0.23665043036274358,1.0,1.0,0.38555495494838654,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.884328941088072e-12,2.8691907409457467e-15,0.5890787499956787
6,0.0722,2,0.012417198156470022,0.06120743578811676,0.15725856475931332,0.2586407119323489,0.3896672743927194,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.5753760743444616e-12,2.5915442470596546e-15,0.649320584256202
6,0.0722,3,0.0040545006526558755,0.023088604226083283,0.05134853655533684,0.09756417594801119,0.39115190192045346,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.928256267609303e-12,2.4454718942603012e-15,0.651421083137393
6,0.0722,4,0.0016660780667286715,0.010089394029845596,0.021100174310595483,0.04263416725834948,0.39173510765928043,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.410973724797726e-12,2.569360229805444e-15,0.6363019999116659
6,0.0722,5,0.000758609751518822,0.00476056255127921,0.009607471768831257,0.02011643310338419,0.3919798352389067,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.052749336424278e-12,2.3022503061295627e-15,0.5984199577942491
