gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d
1901963,1379796,231322,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,elastic_solver,gmres-phase,1,1,True,True,nan,nan,0.0,0.0,64.27832183241844,1.6063451766967773e-05,15.79735779762268,0.0049965232610702515,1.6642182618379593,0.004004225134849548,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0
1901963,1379796,231322,standard,from_u,0.01201151373713017,26.185686901027495,-6.19378489470757,-6.19378489470757,y,0.014000000000000002,y,elastic_solver,gmres-phase,1,359,True,True,nan,9.884478561186635e-11,3.0193063745373927e-09,9.884463049334207e-11,5274.886539831758,4.872679710388184e-06,59.53417029976845,5174.725555837154,3.9040800482034683,27.521538972854614,1.0,1e-05,-6.19378489470757,0.014000000000000002,1,4,True,6.138951410646035e-08,4.5758601582863466e-07
1901963,1379796,231322,standard,from_u,0.046793171526304925,105.12280844033242,-12.06662695957165,-12.06662695957165,y,0.028000000000000004,y,elastic_solver,gmres-phase,1,357,True,True,nan,9.995465267464838e-11,3.433582457395887e-09,9.995430892830154e-11,6702.802539244294,4.351139068603516e-06,74.77712851762772,6578.831557646394,4.8950644582509995,34.6067128777504,1.0,1e-05,-12.06662695957165,0.028000000000000004,2,5,True,3.7358928925467805e-07,1.8886586319154198e-06
1901963,1379796,231322,standard,from_u,0.29900478618213455,864.3769523683322,-27.152813751991424,-27.152813751991424,y,0.07880000000000001,y,elastic_solver,gmres-phase,1,343,True,True,nan,9.54424036662827e-11,9.076450591733289e-09,9.544244418708637e-11,32236.12584449351,4.410743713378906e-06,274.49628135561943,31811.23612715304,18.99700754880905,118.92822314798832,1.0,1e-05,-27.152813751991424,0.07880000000000001,9,18,True,1.7239626819414172e-06,7.63556250263998e-06
1901963,1379796,231322,standard,from_u,0.10086683781689655,237.98909152386898,-17.34224165828863,-17.34224165828863,y,0.04200000000000001,y,elastic_solver,gmres-phase,1,354,True,True,nan,9.904633457242261e-11,8.462447385144867e-09,9.904661516489185e-11,8228.130700722337,4.51505184173584e-06,94.90789337456226,8073.451509028673,6.002557322382927,43.85828948020935,1.0,1e-05,-17.34224165828863,0.04200000000000001,3,6,True,1.52497538672351e-06,6.982282098436031e-06
1901963,1379796,231322,standard,from_u,0.16941935336043337,426.89438916974586,-21.82005194914936,-21.82005194914936,y,0.05600000000000001,y,elastic_solver,gmres-phase,1,352,True,True,nan,9.365434499672866e-11,2.7552599030364773e-09,9.365439345339365e-11,11314.444611489773,5.796551704406738e-06,118.57125259935856,11122.266640290618,7.89495724439621,55.35591937601566,1.0,1e-05,-21.82005194914936,0.05600000000000001,4,8,True,1.958116698925692e-06,8.597440259376364e-06
1901963,1379796,231322,standard,from_u,0.24743905014748235,675.203628358929,-25.378514737370352,-25.378514737370352,y,0.07,y,elastic_solver,gmres-phase,1,347,True,True,nan,9.810865201971214e-11,6.639177279497196e-09,9.810875251953861e-11,16217.66942511499,5.21540641784668e-06,173.32001993060112,15941.353300362825,11.032213866710663,80.61352530121803,1.0,1e-05,-25.378514737370352,0.07,5,12,True,1.4761153303925196e-06,6.329195738259799e-06
1901963,1379796,231322,standard,from_u,0.31233601542999756,915.9509158890039,-27.51750487266964,-27.51750487266964,y,0.081,y,elastic_solver,gmres-phase,1,342,True,True,nan,9.775215212480859e-11,7.292504407112549e-09,9.775228482454675e-11,38926.53243254125,4.4405460357666016e-06,308.4883971363306,38445.00613836944,20.07488612830639,139.85686965286732,1.0,1e-05,-27.51750487266964,0.081,10,21,True,1.3538536725881224e-06,6.108163703793411e-06
1901963,1379796,231322,standard,from_u,0.25974015248265986,720.0596333707701,-25.875167702178743,-25.875167702178743,y,0.0722,y,elastic_solver,gmres-phase,1,346,True,True,nan,9.546746873182615e-11,6.9354881944812535e-09,9.546746658696951e-11,19325.43065597117,6.258487701416016e-06,207.47765900194645,19000.792209014297,13.154375851154327,92.66326875984669,1.0,1e-05,-25.875167702178743,0.0722,6,14,True,1.397202778108889e-06,6.5434681706093534e-06
1901963,1379796,231322,standard,from_u,0.2727156410936943,766.4878280378749,-26.33107014512074,-26.33107014512074,y,0.07440000000000001,y,elastic_solver,gmres-phase,1,345,True,True,nan,9.57076541650198e-11,7.389689604853946e-09,9.570770878724837e-11,20649.759684726596,1.1324882507324219e-05,220.36506627500057,20303.076099559665,13.976226508617401,100.88395529985428,1.0,1e-05,-26.33107014512074,0.07440000000000001,7,15,True,1.3995823607098116e-06,6.195524245454784e-06
