step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,1901963,1379796,231322,0.0,0.0,0.0,0.0,0.0,1.0,elastic_solver,gmres-phase,1,1,True,True,nan,nan,0.0,0.0,15.79735779762268,0.0049965232610702515,1.6642182618379593,0.004004225134849548,15.802354320883751,1.6682224869728088,17.67091916501522
9,0.07880000000000001,9,1901963,1379796,231322,0.00028857787384553883,0.0024164558031366957,0.0003377107089367109,0.0015114642750544657,0.29900368134786276,1.0,elastic_solver,gmres-phase,1,342,True,True,nan,9.843234981899262e-11,9.144599470810493e-09,9.84323167984842e-11,15.194443345069885,1664.0497919917107,0.9984633177518845,6.3965868800878525,1679.2442353367805,7.395050197839737,1686.8366270512342
1,0.014000000000000002,1,1901963,1379796,231322,5.457700902872973,1.323895603833557,1.0,1.0,0.011992273007755678,1.0,elastic_solver,gmres-phase,1,373,True,True,nan,9.554747298300102e-11,8.744757301827892e-09,9.554754046066862e-11,15.145761579275131,1521.3405043929815,0.9989743381738663,7.029897540807724,1536.4862659722567,8.02887187898159,1544.7170725911856
9,0.07880000000000001,10,1901963,1379796,231322,0.00016013631092362925,0.001340171023001236,0.00018740087854924925,0.0008382609858207194,0.29900417495161086,1.0,elastic_solver,gmres-phase,1,342,True,True,nan,9.871975658603135e-11,9.688554516890906e-09,9.871991879489891e-11,13.823316648602486,1664.2056409865618,0.9813288450241089,6.587331637740135,1678.0289576351643,7.568660482764244,1685.7985535562038
1,0.014000000000000002,2,1901963,1379796,231322,0.0029889882485361766,0.0025522287723786434,0.0005476643556928435,0.0019278172425289774,0.012011435686637659,1.0,elastic_solver,gmres-phase,1,367,True,True,nan,9.802362370235162e-11,3.0060654422426274e-09,9.802355845488066e-11,14.833101883530617,1206.4666119217873,0.9796295464038849,7.1215787678956985,1221.2997138053179,8.101208314299583,1229.5972187966108
1,0.014000000000000002,3,1901963,1379796,231322,2.165197603293046e-05,3.670132893107016e-05,3.9672338990824325e-06,2.772222282844315e-05,0.012011513259484512,1.0,elastic_solver,gmres-phase,1,362,True,True,nan,9.365640801104233e-11,3.019103732373702e-09,9.365631082406132e-11,15.263136699795723,1221.6632814109325,0.9571848511695862,6.744636222720146,1236.9264181107283,7.701821073889732,1244.825907856226
9,0.07880000000000001,11,1901963,1379796,231322,8.898743080471029e-05,0.0007439095613205016,0.00010413829703243478,0.00046530655530626817,0.2990044487615062,1.0,elastic_solver,gmres-phase,1,342,True,True,nan,9.915816682775864e-11,8.714699511476822e-09,9.915837321660592e-11,15.222516685724258,2087.3817685097456,0.9596144556999207,6.435325115919113,2102.60428519547,7.394939571619034,2110.1989744752645
1,0.014000000000000002,4,1901963,1379796,231322,3.3504560656576176e-07,6.057961147312418e-07,6.138951410646035e-08,4.5758601582863466e-07,0.01201151373713017,1.0,elastic_solver,gmres-phase,1,359,True,True,nan,9.884478561186635e-11,3.0193063745373927e-09,9.884463049334207e-11,14.292170137166977,1225.255158111453,0.968291312456131,6.6254264414310455,1239.54732824862,7.5937177538871765,1247.3391969650984
9,0.07880000000000001,12,1901963,1379796,231322,4.949101961153271e-05,0.0004131738521061744,5.79172862294957e-05,0.0002584353150736243,0.2990046009193743,1.0,elastic_solver,gmres-phase,1,342,True,True,nan,9.949396376966968e-11,8.715822330223704e-09,9.94938188240551e-11,15.055026605725288,1688.082023203373,0.9800494611263275,6.414085075259209,1703.1370498090982,7.394134536385536,1710.7275880128145
2,0.028000000000000004,1,1901963,1379796,231322,5.456836293916688,3.8824736230289383,1.0,1.0,0.04657074811004966,1.0,elastic_solver,gmres-phase,1,373,True,True,nan,9.72755661597837e-11,3.0190105797314744e-09,9.727565881890972e-11,15.325374484062195,1214.5229962021112,1.0426120609045029,7.186455860733986,1229.8483706861734,8.229067921638489,1238.2732592374086
