step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,10924,7680,1384,0.0,0.0,0.0,0.0,0.0,1.0,gmres-auxspace,gmres-phase,0,1,True,True,0.0,nan,0.0,0.0,0.6835377067327499,0.00018149614334106445,0.5061016082763672,0.00015792250633239746,0.683719202876091,0.5062595307826996,1.1908407509326935
1,0.014000000000000002,1,10924,7680,1384,0.41228636396706225,0.09591367858367916,1.0,1.0,0.00918452095539748,1.0,gmres-auxspace,gmres-phase,5,37,True,True,nan,7.688030378875564e-11,8.600103814900925e-09,7.688028313927505e-11,0.7198775261640549,2.2037034034729004,0.19271045923233032,0.00598810613155365,2.9235809296369553,0.19869856536388397,3.1229546070098877
1,0.014000000000000002,2,10924,7680,1384,0.0001981293885361506,0.0002115858502457487,0.0004805625551855003,0.0022060028701865733,0.009235184415959738,1.0,gmres-auxspace,gmres-phase,5,34,True,True,nan,9.57179163869338e-11,8.427883151657143e-09,9.571791956816915e-11,0.7378102838993073,1.6842347234487534,0.19556543231010437,0.00561116635799408,2.4220450073480606,0.20117659866809845,2.6238644868135452
1,0.014000000000000002,3,10924,7680,1384,2.0995796302912372e-06,3.094748850096673e-06,5.092527460983341e-06,3.226598015836378e-05,0.00923606951544557,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,7.41785276931312e-11,8.427094275466917e-09,7.417853961148219e-11,0.7449982911348343,2.0518523305654526,0.197147935628891,0.005459710955619812,2.796850621700287,0.2026076465845108,3.00011083483696
1,0.014000000000000002,4,10924,7680,1384,3.212311456275198e-08,5.182151923755641e-08,7.791456950858144e-08,5.402933137669735e-07,0.009236085264269332,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,6.350574593062597e-11,8.427033974916187e-09,6.350575700719954e-11,0.7353192716836929,1.7449705451726913,0.19950370490550995,0.005169808864593506,2.4802898168563843,0.20467351377010345,2.6856307685375214
2,0.028000000000000004,1,10924,7680,1384,0.4122431820163676,0.2815125887196035,1.0,1.0,0.035984995630333694,1.0,gmres-auxspace,gmres-phase,5,37,True,True,nan,7.932600793411735e-11,8.427338348557972e-09,7.932603803818753e-11,0.6783267706632614,2.192889854311943,0.20693059265613556,0.0068746209144592285,2.8712166249752045,0.2138052135705948,3.0858378410339355
2,0.028000000000000004,2,10924,7680,1384,0.0011786765683349653,0.0024266647706271505,0.002859177834233211,0.008620093267104991,0.0365650979569241,1.0,gmres-auxspace,gmres-phase,5,34,True,True,nan,9.389080690390425e-11,8.006439019633334e-09,9.389079911695105e-11,0.7428798377513885,2.466886445879936,0.1740076094865799,0.006782904267311096,3.2097662836313248,0.180790513753891,3.391378089785576
2,0.028000000000000004,3,10924,7680,1384,4.935333817141412e-05,0.00014066443316909926,0.00011971899190671056,0.000499673687094704,0.0366053688873944,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,7.305671502465265e-11,8.006335433025717e-09,7.305670267561286e-11,0.6999731957912445,2.2698834240436554,0.18699437379837036,0.005934625864028931,2.9698566198349,0.1929289996623993,3.1635995656251907
2,0.028000000000000004,4,10924,7680,1384,2.999054289556878e-06,9.354958494765193e-06,7.27496395425602e-06,3.323104852011809e-05,0.0366082174692987,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,5.281029824819619e-11,8.006153402511934e-09,5.281028256631654e-11,0.731587827205658,2.1995242834091187,0.20960605144500732,0.005613341927528381,2.9311121106147766,0.2152193933725357,3.1471606642007828
2,0.028000000000000004,5,10924,7680,1384,1.9763174437545577e-07,6.44227114553493e-07,4.794057318517618e-07,2.28844868886189e-06,0.03660841863418992,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,9.158453012628468e-11,8.006464229169838e-09,9.158452881595945e-11,0.7475715577602386,2.214898183941841,0.20265081524848938,0.005357995629310608,2.9624697417020798,0.2080088108778,3.1713099777698517
3,0.04200000000000001,1,10924,7680,1384,0.41211791400787207,0.4494431522558489,1.0,1.0,0.078885340297225,1.0,gmres-auxspace,gmres-phase,5,37,True,True,nan,8.87365780048484e-11,8.006108579247465e-09,8.873658280228624e-11,0.756649523973465,2.2166528403759003,0.20490168035030365,0.006881147623062134,2.9733023643493652,0.21178282797336578,3.1859192699193954
