gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d,rss_mb
10924,7680,1384,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,gmres-auxspace,gmres-phase,0,1,True,True,0.0,nan,0.0,0.0,1.594010517001152,6.943941116333008e-06,0.7287597209215164,0.00014813244342803955,0.6518250405788422,0.00015772879123687744,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0,223.21484375
10924,7680,1384,standard,from_u,0.00923608526426944,0.6071200791728948,-6.021806796493936,-6.021806796493936,y,0.014000000000000002,y,gmres-auxspace,gmres-phase,5,33,True,True,nan,6.350577711142187e-11,4.055468212940998e-10,6.350575841576468e-11,14.16986908018589,5.0067901611328125e-06,3.1566395610570908,10.135502859950066,0.7948406934738159,0.021200254559516907,1.0,1e-05,-6.021806796493936,0.014000000000000002,1,4,True,7.791456941789305e-08,5.402933135622264e-07,418.42578125
10924,7680,1384,standard,from_u,0.036608418634190544,2.4196134605838577,-11.745745174394905,-11.745745174394905,y,0.028000000000000004,y,gmres-auxspace,gmres-phase,6,32,True,True,nan,9.158452751285182e-11,2.69227913149616e-10,9.158458068637307e-11,16.050986006855965,4.1425228118896484e-06,3.4453153908252716,11.568253621459007,0.953816294670105,0.02719186246395111,1.0,1e-05,-11.745745174394905,0.028000000000000004,2,5,True,4.794057315009423e-07,2.2884486883674624e-06,407.375
10924,7680,1384,standard,from_u,0.0813387671448669,5.385027237893693,-16.91292727630882,-16.91292727630882,y,0.04200000000000001,y,gmres-auxspace,gmres-phase,6,32,True,True,nan,8.304039007657499e-11,1.700670781217513e-10,8.304036248447774e-11,19.71342261135578,4.857778549194336e-06,4.504666373133659,13.913237169384956,1.1977714002132416,0.0301864892244339,1.0,1e-05,-16.91292727630882,0.04200000000000001,3,6,True,2.0220105763857194e-06,8.758850410293529e-06,429.71484375
10924,7680,1384,standard,from_u,0.14312873278944543,9.401179662583854,-21.33064598974616,-21.33064598974616,y,0.05600000000000001,y,gmres-auxspace,gmres-phase,6,32,True,True,nan,7.565277073794938e-11,1.304997672700156e-10,7.565273585549846e-11,29.98276311159134,4.5299530029296875e-06,6.5898367613554,21.60444761812687,1.682503655552864,0.05193750560283661,1.0,1e-05,-21.33064598974616,0.05600000000000001,4,9,True,7.681084009467127e-07,3.1892594262301385e-06,433.47265625
10924,7680,1384,standard,from_u,0.22497356666483403,14.321931492942682,-24.873234757725676,-24.873234757725676,y,0.07,y,gmres-auxspace,gmres-phase,6,32,True,True,nan,6.631945270724075e-11,1.0642375735313396e-10,6.631946046276686e-11,43.16828991472721,4.366040229797363e-06,9.696485012769699,30.731892555952072,2.615568369626999,0.06708398461341858,1.0,1e-05,-24.873234757725676,0.07,5,13,True,1.0725130603898332e-06,4.352001424421453e-06,448.84375
10924,7680,1384,standard,from_u,0.2433594160818301,14.756590989511277,-25.37417730115787,-25.37417730115787,y,0.0722,y,gmres-auxspace,gmres-phase,6,32,True,True,nan,6.387504893596591e-11,1.0228435251800409e-10,6.387504647769602e-11,51.667778342962265,4.276633262634277e-06,11.156683936715126,37.414283350110054,2.9497265219688416,0.07972408831119537,1.0,1e-05,-25.37417730115787,0.0722,6,15,True,1.2691417344971993e-06,5.755715973328373e-06,450.984375
10924,7680,1384,standard,from_u,0.2618768258485421,15.59111145593914,-25.8305480458473,-25.8305480458473,y,0.07440000000000001,y,gmres-auxspace,gmres-phase,7,32,True,True,nan,6.148471678860884e-11,1.6997142029106858e-11,6.148473271319809e-11,56.237518951296806,4.306435585021973e-06,11.828920021653175,41.127230644226074,3.1251431852579117,0.08377327024936676,1.0,1e-05,-25.8305480458473,0.07440000000000001,7,16,True,1.4642943789840842e-06,6.189098042976462e-06,451.25
10924,7680,1384,standard,from_u,0.28192474821429697,16.449541313558566,-26.256283072787213,-26.256283072787213,y,0.0766,y,gmres-auxspace,gmres-phase,6,32,True,True,nan,5.894303518489314e-11,9.737281317903484e-11,5.894303085431738e-11,61.1482529938221,4.395842552185059e-06,12.759997442364693,44.842074766755104,3.3932091146707535,0.08874638378620148,1.0,1e-05,-26.256283072787213,0.0766,8,17,True,2.3203782525635574e-06,9.762106127701802e-06,464.82421875
10924,7680,1384,standard,from_u,0.30448783033850474,17.327853954064835,-26.651231353301196,-26.651231353301196,y,0.07880000000000001,y,gmres-auxspace,gmres-phase,6,32,True,True,nan,5.571770373504402e-11,8.770159720230035e-11,5.5717705403189456e-11,69.01598963141441,4.187226295471191e-06,14.983894497156143,49.89522823691368,3.9526247829198837,0.1063167154788971,1.0,1e-05,-26.651231353301196,0.07880000000000001,9,20,True,1.598458769025311e-06,6.805788772756466e-06,462.80859375
