step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,10924,7680,1384,0.0,0.0,0.0,0.0,0.0,1.0,gmres-auxspace,gmres-phase,0,1,True,True,0.0,nan,0.0,0.0,0.9081822335720062,0.0002240389585494995,0.6580018848180771,0.00018315017223358154,0.9084062725305557,0.6581850349903107,1.5679775178432465
1,0.014000000000000002,1,10924,7680,1384,0.41228636396706236,0.09591367858367882,1.0,1.0,0.00918452095539738,1.0,gmres-auxspace,gmres-phase,5,37,True,True,nan,7.688030378716248e-11,8.600254064123889e-09,7.688031462661957e-11,0.7966065555810928,2.1787647157907486,0.20764775574207306,0.0070166438817977905,2.9753712713718414,0.21466439962387085,3.19097737967968
1,0.014000000000000002,2,10924,7680,1384,0.00019812938853718668,0.00021158585024610632,0.00048056255518801315,0.00220600287019031,0.009235184415959784,1.0,gmres-auxspace,gmres-phase,5,34,True,True,nan,9.571791638664886e-11,8.333592752361394e-09,9.571792799044649e-11,0.7040840685367584,1.9652016460895538,0.19924604892730713,0.005278751254081726,2.6692857146263123,0.20452480018138885,2.874475434422493
1,0.014000000000000002,3,10924,7680,1384,2.0995796303414002e-06,3.094748850138387e-06,5.09252746110501e-06,3.2265980158798814e-05,0.009236069515445632,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,7.41785276950924e-11,8.333176933823853e-09,7.417850134766956e-11,0.728925958275795,1.7843765914440155,0.2017190158367157,0.0048627108335494995,2.5133025497198105,0.2065817266702652,2.720557823777199
1,0.014000000000000002,4,10924,7680,1384,3.212311452585939e-08,5.182151920930166e-08,7.791456941909849e-08,5.402933134723902e-07,0.00923608526426939,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,6.350576524541372e-11,8.333028119202462e-09,6.350575593333657e-11,0.7462834864854813,2.0721857100725174,0.1945342868566513,0.0048685222864151,2.8184691965579987,0.1994028091430664,3.018528312444687
2,0.028000000000000004,1,10924,7680,1384,0.41224318201637006,0.28151258871960244,1.0,1.0,0.035984995630333874,1.0,gmres-auxspace,gmres-phase,5,37,True,True,nan,7.932600793944983e-11,8.332915272567821e-09,7.932600075977098e-11,0.756305918097496,2.2171515375375748,0.20261776447296143,0.007556438446044922,2.973457455635071,0.21017420291900635,3.1844608783721924
2,0.028000000000000004,2,10924,7680,1384,0.0011786765683345194,0.002426664770626444,0.0028591778342321123,0.008620093267102514,0.03656509795692411,1.0,gmres-auxspace,gmres-phase,5,34,True,True,nan,9.389080690363937e-11,8.004456048174135e-09,9.389080453549116e-11,0.7617983669042587,2.537464141845703,0.20436306297779083,0.006039217114448547,3.299262508749962,0.21040228009223938,3.5105313658714294
2,0.028000000000000004,3,10924,7680,1384,4.935333817139101e-05,0.00014066443316920754,0.00011971899190665379,0.0004996736870950905,0.0366053688873944,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,7.305671502679512e-11,8.00381370024342e-09,7.305672850799465e-11,0.7524866312742233,2.244218096137047,0.2052430808544159,0.005669146776199341,2.99670472741127,0.21091222763061523,3.2084776908159256
2,0.028000000000000004,4,10924,7680,1384,2.999054289578402e-06,9.354958494717287e-06,7.274963954308189e-06,3.323104851994804e-05,0.03660821746929871,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,5.281029822673678e-11,8.00360219955418e-09,5.2810305316366584e-11,0.7597027122974396,2.275306522846222,0.19767367839813232,0.0058367252349853516,3.0350092351436615,0.20351040363311768,3.239394411444664
2,0.028000000000000004,5,10924,7680,1384,1.9763174439074152e-07,6.442271145931548e-07,4.794057318888384e-07,2.2884486890027866e-06,0.036608418634189906,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,9.158452874568658e-11,8.003453391198917e-09,9.158454684504448e-11,0.7518021911382675,2.2620620280504227,0.20490632951259613,0.005350932478904724,3.01386421918869,0.21025726199150085,3.2249782979488373
3,0.04200000000000001,1,10924,7680,1384,0.41211791400787195,0.4494431522558481,1.0,1.0,0.07888534029722513,1.0,gmres-auxspace,gmres-phase,5,37,True,True,nan,8.873657800422579e-11,8.003503143927869e-09,8.873657248654414e-11,0.7248948067426682,2.24516798555851,0.20026397705078125,0.007616713643074036,2.970062792301178,0.20788069069385529,3.1787931323051453
3,0.04200000000000001,2,10924,7680,1384,0.002911060880722636,0.00863126197786676,0.007063660136518674,0.01920434638851359,0.0809586501406418,1.0,gmres-auxspace,gmres-phase,5,34,True,True,nan,9.493416198426262e-11,7.992675063448758e-09,9.493414796878955e-11,0.7401756793260574,2.4954689741134644,0.19672438502311707,0.006228357553482056,3.235644653439522,0.20295274257659912,3.439504489302635
3,0.04200000000000001,3,10924,7680,1384,0.00027402018678133224,0.0011122648453094747,0.0006649072449107324,0.0024747620243556665,0.08127904583225644,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,6.943541791531904e-11,7.974098080330595e-09,6.943542465457948e-11,0.7122213542461395,2.1643467098474503,0.19452010095119476,0.005804389715194702,2.87656806409359,0.20032449066638947,3.0776079446077347
3,0.04200000000000001,4,10924,7680,1384,3.705790052144604e-05,0.00016466500537777533,8.992062529157174e-05,0.0003663756017892088,0.08132956148166674,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,9.796735723092754e-11,7.964705852613838e-09,9.796737171985415e-11,0.722700908780098,2.310821235179901,0.19197440147399902,0.005619734525680542,3.033522143959999,0.19759413599967957,3.23195181787014
3,0.04200000000000001,5,10924,7680,1384,5.443605784860071e-06,2.530599913044265e-05,1.3208855038405565e-05,5.63052279324462e-05,0.08133751749909453,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,8.618424769916005e-11,7.963173597852622e-09,8.618426156357025e-11,0.704803392291069,1.9674330204725266,0.20059630274772644,0.0048270076513290405,2.6722364127635956,0.20542331039905548,2.878322407603264
3,0.04200000000000001,6,10924,7680,1384,8.333067808200376e-07,3.9366053383543395e-06,2.0220105763325796e-06,8.758850409880991e-06,0.08133876714487535,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,8.304039003341082e-11,7.962355894687151e-09,8.304037483091948e-11,0.7085909098386765,2.065990447998047,0.19894543290138245,0.004682302474975586,2.7745813578367233,0.20362773537635803,2.9788704812526703
4,0.05600000000000001,1,10924,7680,1384,0.4119238123345035,0.5906004205722142,1.0,1.0,0.13628270964879766,1.0,gmres-auxspace,gmres-phase,5,37,True,True,nan,9.168685151286986e-11,8.014504234192601e-09,9.168685432255045e-11,0.833882287144661,2.3285782784223557,0.19363480806350708,0.006054863333702087,3.1624605655670166,0.19968967139720917,3.36284239590168
4,0.05600000000000001,2,10924,7680,1384,0.00536504301191187,0.02044010175798423,0.013024357542008707,0.034609019983731906,0.14125853609528752,1.0,gmres-auxspace,gmres-phase,5,34,True,True,nan,9.350944684233375e-11,8.508698524917483e-09,9.350948162593045e-11,0.7560629099607468,2.170535624027252,0.1949794888496399,0.009930446743965149,2.926598533987999,0.20490993559360504,3.13228502869606
4,0.05600000000000001,3,10924,7680,1384,0.0009159031364972717,0.004631021401850572,0.0022234770340334464,0.0078412091162477,0.1426092939745191,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,6.241855897408507e-11,9.068682037253602e-09,6.241855675160645e-11,0.7765817195177078,2.2508903592824936,0.20251981914043427,0.005848690867424011,3.0274720788002014,0.20836851000785828,3.236697405576706
4,0.05600000000000001,4,10924,7680,1384,0.00021795627173648078,0.0012069656514635183,0.000529117922319793,0.0020436247747574023,0.14298458765198832,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,9.046385666401374e-11,9.082422034968032e-09,9.046384303532281e-11,0.7162626534700394,2.4968878030776978,0.1828405112028122,0.005522400140762329,3.213150456547737,0.18836291134357452,3.402322217822075
4,0.05600000000000001,5,10924,7680,1384,5.658057705464729e-05,0.00032681452605752353,0.0001373568979515584,0.0005533597922955815,0.14308896480009434,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,8.016745958841886e-11,9.079831994281185e-09,8.01674644783529e-11,0.701025515794754,2.271740883588791,0.1855362206697464,0.005505561828613281,2.972766399383545,0.19104178249835968,3.1646260768175125
4,0.05600000000000001,6,10924,7680,1384,1.5242259792445515e-05,8.962877847376664e-05,3.7002618775697316e-05,0.00015175874474814653,0.14311790169216346,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,7.705204376312833e-11,8.821483249388093e-09,7.705204775482303e-11,0.741416797041893,2.607102796435356,0.19232383370399475,0.005444929003715515,3.348519593477249,0.19776876270771027,3.547116294503212
4,0.05600000000000001,7,10924,7680,1384,4.1675254058599985e-06,2.4696398439285832e-05,1.0117223819233233e-05,4.181574814213351e-05,0.14312590815650483,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,7.596332162951547e-11,8.821539706481433e-09,7.596331601821499e-11,0.7553928792476654,2.302454113960266,0.20552559196949005,0.00548185408115387,3.0578469932079315,0.21100744605064392,3.2697142511606216
4,0.05600000000000001,8,10924,7680,1384,1.1467173350238354e-06,6.817483186503479e-06,2.7838092887250748e-06,1.154330906147719e-05,0.1431281212683018,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,7.556767427097754e-11,8.82170531229395e-09,7.556767026132732e-11,0.7580579370260239,2.273530125617981,0.1890440434217453,0.0054708123207092285,3.031588062644005,0.19451485574245453,3.2269387245178223
4,0.05600000000000001,9,10924,7680,1384,3.1640214057602135e-07,1.8835779570519136e-06,7.681084003929504e-07,3.1892594238706673e-06,0.1431287327894505,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,7.565277095375017e-11,8.82161831807673e-09,7.565277617693792e-11,0.7538278847932816,2.402260050177574,0.19875648617744446,0.005537018179893494,3.1560879349708557,0.20429350435733795,3.3612078577280045
5,0.07,1,10924,7680,1384,0.4116928816112009,0.6985209305573713,1.0,1.0,0.20754689526723363,1.0,gmres-auxspace,gmres-phase,5,37,True,True,nan,9.117714381109304e-11,8.822145937160834e-09,9.117716269675865e-11,0.7312329709529877,2.2682659327983856,0.2107643336057663,0.007109835743904114,2.9994989037513733,0.2178741693496704,3.2181982696056366
5,0.07,2,10924,7680,1384,0.008597687001077076,0.04000648907237241,0.0208837397611277,0.057273142897021005,0.21753403502714574,1.0,gmres-auxspace,gmres-phase,5,34,True,True,nan,7.52017350629982e-11,8.804487982077884e-09,7.52017380418864e-11,0.756405234336853,2.5831308513879776,0.20627371966838837,0.006580576300621033,3.3395360857248306,0.2128542959690094,3.5533217638731003
5,0.07,3,10924,7680,1384,0.0024247427492651657,0.01411150718218867,0.005889688303027477,0.020201981880383548,0.2217413197820708,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,5.7103903718475554e-11,9.935673439068093e-09,5.710390770221618e-11,0.7569300830364227,2.3215737342834473,0.20783810317516327,0.0058176517486572266,3.07850381731987,0.2136557549238205,3.2930407375097275
5,0.07,4,10924,7680,1384,0.0008979858267564261,0.005717644476405286,0.002181203190208365,0.008185358843639806,0.22356582813996373,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,7.989131696998304e-11,9.960479297571492e-09,7.98913296913776e-11,0.7223804146051407,2.1532410085201263,0.20164133608341217,0.004808768630027771,2.875621423125267,0.20645010471343994,3.0827209651470184
5,0.07,5,10924,7680,1384,0.00036339585879002984,0.0024188352066793263,0.0008826867673005278,0.0034627956026303513,0.22436119163153656,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,7.052429705157069e-11,9.749036387345407e-09,7.05242901837163e-11,0.7365640550851822,1.8032660633325577,0.19943693280220032,0.005082353949546814,2.53983011841774,0.20451928675174713,2.745014026761055
5,0.07,6,10924,7680,1384,0.00015320194339371528,0.001039984194427928,0.00037212677273929125,0.0014888375550867069,0.22470761428242253,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.750700772012764e-11,9.851693298424396e-09,6.750702701785882e-11,0.7449959069490433,2.0183215737342834,0.2082882970571518,0.004782959818840027,2.7633174806833267,0.21307125687599182,2.977073684334755
5,0.07,7,10924,7680,1384,6.572270538890735e-05,0.00045020621659790956,0.0001596401306034125,0.0006445135670289453,0.2248583735227647,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.635133715530887e-11,8.829635542782254e-09,6.635131993954758e-11,0.7608361542224884,2.343530774116516,0.19946467876434326,0.004795104265213013,3.1043669283390045,0.20425978302955627,3.3093546628952026
5,0.07,8,10924,7680,1384,2.842082162417885e-05,0.00019543363374833003,6.903403700581645e-05,0.00027978207266085434,0.22492393443263428,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.591357539236167e-11,8.82931523580098e-09,6.591357297726054e-11,0.7384884655475616,1.8614972531795502,0.19745612144470215,0.004887744784355164,2.599985718727112,0.2023438662290573,2.8030002415180206
5,0.07,9,10924,7680,1384,1.2333795397551124e-05,8.493579038540262e-05,2.9958728820575167e-05,0.00012159376572671881,0.2249524349387467,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.580503384739051e-11,8.83065887575527e-09,6.580502074176887e-11,0.7540474236011505,2.116193726658821,0.19236688315868378,0.0045419782400131226,2.8702411502599716,0.1969088613986969,3.0677890479564667
5,0.07,10,10924,7680,1384,5.360948643760303e-06,3.6932688078832984e-05,1.3021718089415827e-05,5.287270067822199e-05,0.22496482321535335,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.585182139749373e-11,8.830184771148797e-09,6.585182255129265e-11,0.7535425424575806,2.440558761358261,0.20362570881843567,0.005720734596252441,3.1941013038158417,0.2093464434146881,3.404300555586815
5,0.07,11,10924,7680,1384,2.3318483692694567e-06,1.606363507539691e-05,5.66404830742649e-06,2.2996641006274845e-05,0.22497020809913984,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.596269993725637e-11,8.830906222664641e-09,6.596271807049469e-11,0.7388321757316589,2.2127774357795715,0.20251703262329102,0.005580872297286987,2.9516096115112305,0.208097904920578,3.160567507147789
5,0.07,12,10924,7680,1384,1.0146227470917062e-06,6.987757294293626e-06,2.4645137004091e-06,1.000364769129807e-05,0.22497254896254207,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.610490676777358e-11,8.839081195664531e-09,6.610491246225118e-11,0.7511846274137497,2.5495606809854507,0.3318144232034683,0.005697876214981079,3.3007453083992004,0.3375122994184494,3.639119327068329
5,0.07,13,10924,7680,1384,4.415459923647272e-07,3.0399640845806617e-06,1.072513060310135e-06,4.352001424144844e-06,0.2249735666648603,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.631945205099857e-11,8.838496209477189e-09,6.631944814211708e-11,1.1463029980659485,2.1897371411323547,0.199933722615242,0.005483612418174744,3.3360401391983032,0.20541733503341675,3.5423009246587753
6,0.0722,1,10924,7680,1384,0.06466667343551794,0.10179174073626132,1.0,1.0,0.2359611928510311,1.0,gmres-auxspace,gmres-phase,5,37,True,True,nan,8.878157617656904e-11,8.838156758988792e-09,8.878160572387774e-11,0.7524357736110687,2.223217323422432,0.1993810385465622,0.00689813494682312,2.9756530970335007,0.20627917349338531,3.182793989777565
6,0.0722,2,10924,7680,1384,0.0028439090086261466,0.015227706972850037,0.04397796975689397,0.14959668498355352,0.23993997392111968,1.0,gmres-auxspace,gmres-phase,5,34,True,True,nan,5.205459606817801e-11,9.340209209437947e-09,5.20546222095275e-11,0.7706119418144226,2.263906940817833,0.19870296120643616,0.006009086966514587,3.0345188826322556,0.20471204817295074,3.240054488182068
6,0.0722,3,10924,7680,1384,0.0009503963685461324,0.005992321473150544,0.014696849521629028,0.0588684448247764,0.24175977500367976,1.0,gmres-auxspace,gmres-phase,5,33,True,True,nan,4.893138561938817e-11,9.9050625564666e-09,4.893135317209155e-11,0.7505107969045639,2.2887837439775467,0.20410068333148956,0.005767986178398132,3.0392945408821106,0.2098686695098877,3.2500084787607193
6,0.0722,4,10924,7680,1384,0.0003822293885505147,0.002614932564305751,0.005910763121774819,0.025689044566797867,0.24261026676260772,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,7.686983223465504e-11,9.035699326054203e-09,7.686984900083902e-11,0.7427447438240051,2.541851043701172,0.19505394995212555,0.005590081214904785,3.284595787525177,0.20064403116703033,3.485982447862625
6,0.0722,5,10924,7680,1384,0.00016680885113609797,0.0011833515512967813,0.002579518046531814,0.011625221680438709,0.24300883257259046,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.961086882120685e-11,9.032235159641226e-09,6.961085769742108e-11,0.7645907402038574,2.2372733056545258,0.20364226400852203,0.005301550030708313,3.001864045858383,0.20894381403923035,3.2116393595933914
6,0.0722,6,10924,7680,1384,7.564598702065282e-05,0.0005457865296675793,0.0011697831819984191,0.005361795816830485,0.24319551792887584,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.697203865795813e-11,9.033373453541789e-09,6.697204940494552e-11,0.7568324059247971,2.324639141559601,0.20712149143218994,0.005388140678405762,3.081471547484398,0.2125096321105957,3.2948300689458847
6,0.0722,7,10924,7680,1384,3.500770364736202e-05,0.00025373465581865083,0.0005413561853041626,0.0024926841213578224,0.24328286037669578,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.588138482136906e-11,9.034430636734724e-09,6.58813863298796e-11,0.7585820704698563,2.19274365901947,0.19310325384140015,0.005346313118934631,2.9513257294893265,0.19844956696033478,3.150471717119217
6,0.0722,8,10924,7680,1384,1.6338028157999883e-05,0.00011839566415560034,0.0002526498935234587,0.0011631166074893952,0.2433237048358252,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.532692394809262e-11,9.032828586986798e-09,6.532692486257774e-11,0.757733628153801,2.2693211883306503,0.20118853449821472,0.005493491888046265,3.0270548164844513,0.206682026386261,3.2345529198646545
6,0.0722,9,10924,7680,1384,7.653156917664409e-06,5.534670127958646e-05,0.00011834777499875137,0.0005437248727574837,0.2433428041712577,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.497960687320446e-11,9.785722170108803e-09,6.497961118151431e-11,0.7406972646713257,1.9955054074525833,0.18440338969230652,0.0047962963581085205,2.736202672123909,0.18919968605041504,2.9261337965726852
6,0.0722,10,10924,7680,1384,3.590633436948558e-06,2.5900422567913457e-05,5.5525253522263534e-05,0.00025444522689734234,0.24335173666894697,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.471215238759802e-11,9.77692107244859e-09,6.471213996427337e-11,0.7652299106121063,1.9722676873207092,0.17442969977855682,0.005493566393852234,2.7374975979328156,0.17992326617240906,2.9181774258613586
6,0.0722,11,10924,7680,1384,1.6858011070149987e-06,1.2128904130372707e-05,2.60690865550087e-05,0.000119154108600994,0.2433559154046037,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.447901446391937e-11,9.779056877759526e-09,6.447901210878978e-11,0.719433382153511,1.7346180230379105,0.17693549394607544,0.0055710673332214355,2.4540514051914215,0.18250656127929688,2.6372363716363907
6,0.0722,12,10924,7680,1384,7.91729812742026e-07,5.682763627347918e-06,1.2243243245402063e-05,5.582735481527672e-05,0.24335787093615566,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.426799598074824e-11,9.775923966198526e-09,6.426800607901707e-11,0.6583946347236633,2.2838068455457687,0.19090184569358826,0.005543112754821777,2.942201480269432,0.19644495844841003,3.139476478099823
6,0.0722,13,10924,7680,1384,3.7188630622854847e-07,2.663918547165932e-06,5.750818566527519e-06,2.6170281870589557e-05,0.24335878646539483,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.409182254696041e-11,9.77921667735205e-09,6.409181784256808e-11,0.7189050912857056,2.0890558660030365,0.1978885531425476,0.00475582480430603,2.807960957288742,0.20264437794685364,3.0112902373075485
6,0.0722,14,10924,7680,1384,1.7470294512661473e-07,1.2491528992411591e-06,2.7015916521640617e-06,1.2271652790354265e-05,0.243359215226134,1.0,gmres-auxspace,gmres-phase,5,32,True,True,nan,6.395072196260491e-11,9.854581200093683e-09,6.395072649875734e-11,0.6481423825025558,2.345142349600792,0.19152534008026123,0.005487948656082153,2.993284732103348,0.19701328873634338,3.191044330596924
