gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d,rss_mb
48092,34416,5956,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,gmres-auxspace,gmres-phase,0,1,True,True,0.0,nan,0.0,0.0,2.8753561675548553,7.256865501403809e-06,0.9864044487476349,0.000298231840133667,0.8291887044906616,0.00027216970920562744,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0,570.296875
48092,34416,5956,standard,from_u,0.009029645222975587,0.27110320234158214,-6.15919796998856,-6.15919796998856,y,0.014000000000000002,y,gmres-auxspace,gmres-phase,6,58,True,True,nan,8.789205401317844e-11,8.625566273557327e-09,8.789203145189476e-11,73.10582165420055,6.9141387939453125e-06,4.235785901546478,67.47148858010769,1.0492349714040756,0.1020289957523346,1.0,1e-05,-6.15919796998856,0.014000000000000002,1,4,True,6.165635950747799e-08,4.5036848461143426e-07,893.2421875
48092,34416,5956,standard,from_u,0.03568942260408418,1.0622866241690199,-11.999123089403145,-11.999123089403145,y,0.028000000000000004,y,gmres-auxspace,gmres-phase,6,58,True,True,nan,7.667067485936675e-11,8.558013360713906e-09,7.66706716128255e-11,91.49634155631065,5.0067901611328125e-06,5.096506237983704,84.79519112408161,1.2502053380012512,0.12737059593200684,1.0,1e-05,-11.999123089403145,0.028000000000000004,2,5,True,3.7858710532559495e-07,1.876983238586923e-06,886.37109375
48092,34416,5956,standard,from_u,0.07890691768771183,2.356004636678229,-17.2457980129578,-17.2457980129578,y,0.04200000000000001,y,gmres-auxspace,gmres-phase,6,57,True,True,nan,9.557200091240876e-11,8.337296637103245e-09,9.557196555567061e-11,109.62212301790714,4.664063453674316e-06,6.002907007932663,101.74352395534515,1.5096312463283539,0.14747880399227142,1.0,1e-05,-17.2457980129578,0.04200000000000001,3,6,True,1.5594182695145606e-06,7.012328661599977e-06,970.2890625
48092,34416,5956,standard,from_u,0.13780497712354894,4.381563728829132,-21.701659214326586,-21.701659214326586,y,0.05600000000000001,y,gmres-auxspace,gmres-phase,6,57,True,True,nan,7.377211636288698e-11,8.18926591533907e-09,7.377208492659135e-11,145.25238694250584,4.470348358154297e-06,8.187446877360344,134.5771017819643,2.085274413228035,0.19458167254924774,1.0,1e-05,-21.701659214326586,0.05600000000000001,4,8,True,2.034443682941073e-06,8.793962676027324e-06,943.35546875
48092,34416,5956,standard,from_u,0.21404170499996952,7.499999649279613,-25.248024811953936,-25.248024811953936,y,0.07,y,gmres-auxspace,gmres-phase,6,56,True,True,nan,8.540529649068177e-11,8.098459659112866e-09,8.540531029690866e-11,217.60310624539852,5.140900611877441e-06,12.705277368426323,201.01923203468323,3.3389303237199783,0.28157827258110046,1.0,1e-05,-25.248024811953936,0.07,5,12,True,1.57602901878411e-06,6.683288291774993e-06,923.2734375
48092,34416,5956,standard,from_u,0.23035810711055824,8.321852029337778,-25.74460624058065,-25.74460624058065,y,0.0722,y,gmres-auxspace,gmres-phase,6,56,True,True,nan,8.262450124738156e-11,8.113839378535799e-09,8.262453225902522e-11,255.83438482880592,6.034970283508301e-06,14.101849406957626,237.5266333669424,3.6078096479177475,0.32245849072933197,1.0,1e-05,-25.74460624058065,0.0722,6,14,True,1.571014973229879e-06,7.351228786001303e-06,886.88671875
48092,34416,5956,standard,from_u,0.2468417284903042,9.19425918259931,-26.20020925800512,-26.20020925800512,y,0.07440000000000001,y,gmres-auxspace,gmres-phase,6,56,True,True,nan,8.059349845126207e-11,8.155257051125418e-09,8.059345993002437e-11,272.7860795557499,5.617737770080566e-06,15.104581579566002,253.27105495333672,3.8284605145454407,0.34492968022823334,1.0,1e-05,-26.20020925800512,0.07440000000000001,7,15,True,1.5773843835340233e-06,6.9593433467255395e-06,915.546875
48092,34416,5956,standard,from_u,0.2644737264717499,10.188030448178571,-26.62534774096953,-26.62534774096953,y,0.0766,y,gmres-auxspace,gmres-phase,6,56,True,True,nan,7.641832763363453e-11,8.228982796526642e-09,7.641833258266835e-11,291.8412740826607,4.51505184173584e-06,16.544224843382835,270.4981319755316,4.150392025709152,0.3769582062959671,1.0,1e-05,-26.62534774096953,0.0766,8,16,True,2.138743607397356e-06,9.35620000306368e-06,974.46484375
48092,34416,5956,standard,from_u,0.28397603445304836,11.37241310676781,-27.021235302641607,-27.021235302641607,y,0.07880000000000001,y,gmres-auxspace,gmres-phase,6,56,True,True,nan,7.325964964192357e-11,8.331374233867589e-09,7.325967707130641e-11,332.42098827660084,4.947185516357422e-06,18.29205659031868,309.1068516969681,4.351645469665527,0.40418118238449097,1.0,1e-05,-27.021235302641607,0.07880000000000001,9,18,True,2.009529041335461e-06,8.878251545056552e-06,967.0859375
48092,34416,5956,standard,from_u,0.3062890500891393,12.852441741278334,-27.385463229286525,-27.385463229286525,y,0.081,y,gmres-auxspace,gmres-phase,6,56,True,True,nan,7.006319038334654e-11,7.896709739677283e-09,7.006320272636185e-11,387.679042711854,4.32133674621582e-06,22.34086412191391,358.93864223361015,5.636953502893448,0.5090513974428177,1.0,1e-05,-27.385463229286525,0.081,10,21,True,1.643129992492848e-06,7.410214237107053e-06,986.38671875
48092,34416,5956,standard,from_u,0.3331095624676172,14.833400676664194,-27.711728585526394,-27.711728585526394,y,0.08320000000000001,y,gmres-auxspace,gmres-phase,6,55,True,True,nan,9.836062776051343e-11,7.961391003572758e-09,9.836060038568947e-11,460.7709931284189,4.6193599700927734e-06,25.157567396759987,428.36286564171314,6.403730675578117,0.5620889216661453,1.0,1e-05,-27.711728585526394,0.08320000000000001,11,25,True,1.6132187329623296e-06,7.50703245566321e-06,984.3359375
