gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d,rss_mb
10924,7680,1384,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,_default_spsolve,gmres-phase,1,1,True,True,nan,nan,0.0,0.0,1.9311361759901047,6.780028343200684e-06,0.8166433870792389,0.2628191411495209,0.6355008631944656,0.0001607835292816162,1.0,1e-05,-0.0,0.0,0,1,True,0.0,0.0,226.9375
10924,7680,1384,standard,from_u,0.009236085264270107,0.6071200791763128,-6.021806796495071,-6.021806796495071,y,0.014000000000000002,y,_default_spsolve,gmres-phase,1,33,True,True,nan,6.350576913089481e-11,4.424278833003904e-11,6.350575744349548e-11,5.160629451274872,5.587935447692871e-06,2.847250998020172,1.4107287675142288,0.8068138659000397,0.022909775376319885,1.0,1e-05,-6.021806796495071,0.014000000000000002,1,4,True,7.791457281642821e-08,5.402933252639924e-07,377.30859375
10924,7680,1384,standard,from_u,0.03660841863419118,2.419613460570076,-11.745745174396754,-11.745745174396754,y,0.028000000000000004,y,_default_spsolve,gmres-phase,1,32,True,True,nan,9.158449525860582e-11,1.2950465644004747e-11,9.158449983443092e-11,6.754654109477997,4.932284355163574e-06,3.9074468910694122,1.7475073784589767,0.9902347475290298,0.030759602785110474,1.0,1e-05,-11.745745174396754,0.028000000000000004,2,5,True,4.794057149595564e-07,2.2884487167905016e-06,401.78515625
10924,7680,1384,standard,from_u,0.08133876714487023,5.38502723787052,-16.912927276309702,-16.912927276309702,y,0.04200000000000001,y,_default_spsolve,gmres-phase,1,32,True,True,nan,8.30403917145339e-11,7.10282019557562e-11,8.304039369519758e-11,8.247289881110191,2.9206275939941406e-06,4.827233389019966,2.082414820790291,1.2311041206121445,0.0362405925989151,1.0,1e-05,-16.912927276309702,0.04200000000000001,3,6,True,2.0220105777520005e-06,8.758850294919667e-06,401.36328125
10924,7680,1384,standard,from_u,0.1431287327894482,9.401179662615291,-21.330645989747353,-21.330645989747353,y,0.05600000000000001,y,_default_spsolve,gmres-phase,1,32,True,True,nan,7.565273472625315e-11,1.573528219905664e-11,7.565275338662148e-11,12.19345061480999,6.556510925292969e-06,7.0816923677921295,3.1590697169303894,1.824777901172638,0.05288273096084595,1.0,1e-05,-21.330645989747353,0.05600000000000001,4,9,True,7.681083678905826e-07,3.1892593865102954e-06,380.8125
10924,7680,1384,standard,from_u,0.22497356666483337,14.321931493006398,-24.87323475772631,-24.87323475772631,y,0.07,y,_default_spsolve,gmres-phase,1,32,True,True,nan,6.631945435358019e-11,5.6524063318206406e-12,6.63194620887874e-11,17.568744406104088,6.645917892456055e-06,10.172123283147812,4.608570039272308,2.6290234178304672,0.0744505524635315,1.0,1e-05,-24.87323475772631,0.07,5,13,True,1.072513024115734e-06,4.352001411274689e-06,411.875
10924,7680,1384,standard,from_u,0.24335941608180864,14.756590989592919,-25.374177301159126,-25.374177301159126,y,0.0722,y,_default_spsolve,gmres-phase,1,32,True,True,nan,6.387510986370779e-11,1.9118056026035597e-11,6.387510022898255e-11,20.159309029579163,4.395842552185059e-06,11.566277891397476,5.331646904349327,3.0911049991846085,0.08589154481887817,1.0,1e-05,-25.374177301159126,0.0722,6,15,True,1.2691418355168484e-06,5.755716394602584e-06,410.3046875
10924,7680,1384,standard,from_u,0.2618768258485132,15.591111455883166,-25.830548045847536,-25.830548045847536,y,0.07440000000000001,y,_default_spsolve,gmres-phase,1,32,True,True,nan,6.148466336517632e-11,3.986645381856923e-12,6.148466290131102e-11,21.695032209157944,3.7848949432373047e-06,12.45744289457798,5.779382482171059,3.274289608001709,0.09254273772239685,1.0,1e-05,-25.830548045847536,0.07440000000000001,7,16,True,1.4642942248262227e-06,6.189097956761621e-06,450.078125
10924,7680,1384,standard,from_u,0.2819247482142748,16.449541313536212,-26.256283072788037,-26.256283072788037,y,0.0766,y,_default_spsolve,gmres-phase,1,32,True,True,nan,5.894302805794254e-11,3.896337150433034e-12,5.894304863132859e-11,23.10852713882923,5.990266799926758e-06,13.27911365032196,6.138947457075119,3.499593749642372,0.0975310355424881,1.0,1e-05,-26.256283072788037,0.0766,8,17,True,2.320378676697512e-06,9.762105971595818e-06,457.703125
10924,7680,1384,standard,from_u,0.3044878303384489,17.32785395401998,-26.651231353301657,-26.651231353301657,y,0.07880000000000001,y,_default_spsolve,gmres-phase,1,32,True,True,nan,5.571765912495082e-11,3.5993104359558656e-12,5.5717657948045414e-11,27.1069193482399,4.0084123611450195e-06,15.541071280837059,7.254850476980209,4.101230099797249,0.1136997640132904,1.0,1e-05,-26.651231353301657,0.07880000000000001,9,20,True,1.5984588800833423e-06,6.805789194360155e-06,471.09375
10924,7680,1384,standard,from_u,0.33099600488222736,18.231330553669864,-27.010913312911576,-27.010913312911576,y,0.081,y,_default_spsolve,gmres-phase,1,32,True,True,nan,5.2197689746514646e-11,1.0212017235518899e-11,5.2197687888183e-11,31.008815318346024,4.455447196960449e-06,17.99659562110901,8.147260800004005,4.6335428059101105,0.1305832415819168,1.0,1e-05,-27.010913312911576,0.081,10,23,True,1.9739686178949242e-06,8.62689669970239e-06,479.9921875
10924,7680,1384,standard,from_u,0.36431668587841465,19.468009281290836,-27.323562168884656,-27.323562168884656,y,0.08320000000000001,y,_default_spsolve,gmres-phase,1,32,True,True,nan,4.971665520486789e-11,8.52160476187805e-12,4.9716659873329556e-11,38.88599516451359,4.380941390991211e-06,22.447472125291824,10.254735961556435,5.907073959708214,0.16193535923957825,1.0,1e-05,-27.323562168884656,0.08320000000000001,11,29,True,1.7174586467637698e-06,7.807533782829737e-06,490.859375
10924,7680,1384,standard,from_u,0.41243870083862877,25.401927612951546,-27.552257607020113,-27.552257607020113,y,0.0854,y,_default_spsolve,gmres-phase,1,31,True,True,nan,9.860453127851299e-11,5.491469174441294e-12,9.86045053948306e-11,57.25690795481205,4.783272743225098e-06,33.187941402196884,15.166358172893524,8.52360786497593,0.22802072763442993,1.0,1e-05,-27.552257607020113,0.0854,12,42,True,1.674345733008621e-06,8.037205619187044e-06,518.44921875
10924,7680,1384,standard,from_u,0.9536563604660788,2705.971707594258,-20.84456576274354,-20.84456576274354,y,0.08760000000000001,y,_default_spsolve,gmres-phase,1,38,True,True,nan,5.817816873505289e-11,3.3348158497378283e-12,5.8178160084409275e-11,569.1141417324543,4.604458808898926e-06,332.0595371425152,147.16946955025196,86.5363471955061,2.533913552761078,1.0,1e-05,-20.84456576274354,0.08760000000000001,13,415,True,2.2943736290178825e-06,8.996638264301905e-06,536.84375
10924,7680,1384,standard,from_u,0.960428865590347,3147.511046267985,-20.481300507680466,-20.481300507680466,y,0.0898,y,_default_spsolve,gmres-phase,1,38,True,True,nan,7.964737385304516e-11,3.6797870315679566e-12,7.964736355391279e-11,115.28822469711304,4.038214683532715e-06,68.02246275544167,28.080970987677574,18.31317976117134,0.6782029569149017,1.0,1e-05,-20.481300507680466,0.0898,14,80,True,1.5075391862355417e-06,9.236114938683834e-06,539.77734375
10924,7680,1384,standard,from_u,0.9655662987090732,3616.0287335222292,-19.941899789264607,-19.941899789264607,y,0.092,y,_default_spsolve,gmres-phase,1,40,True,True,nan,6.242924156929008e-11,2.406753219933414e-12,6.242924846769521e-11,151.2952597886324,4.902482032775879e-06,85.65583528578281,41.16800479590893,23.17961250245571,1.0323562175035477,1.0,1e-05,-19.941899789264607,0.092,15,116,True,1.6139279249377305e-06,9.721860507154023e-06,545.578125
10924,7680,1384,standard,from_u,0.969623993236941,4121.705648199708,-19.228400169660564,-19.228400169660564,y,0.0942,y,_default_spsolve,gmres-phase,1,42,True,True,nan,6.154915739975344e-11,6.670117345304979e-12,6.154916989397077e-11,120.15757958590984,5.424022674560547e-06,67.88865326344967,32.67004778981209,18.477553740143776,0.9024989753961563,1.0,1e-05,-19.228400169660564,0.0942,16,92,True,1.7258734222532283e-06,9.587128372181208e-06,540.2890625
10924,7680,1384,standard,from_u,0.9723216678437292,4560.122416223036,-18.858163575907778,-18.858163575907778,y,0.0964,y,_default_spsolve,gmres-phase,1,43,True,True,nan,7.234956569891175e-11,6.703718162180235e-12,7.234957788381781e-11,78.82061314582825,5.677342414855957e-06,44.57004548609257,21.49430987238884,11.965586349368095,0.6128612160682678,1.0,1e-05,-18.858163575907778,0.0964,17,60,True,1.577428737363124e-06,9.131341042038024e-06,565.8046875
10924,7680,1384,standard,from_u,0.9744223233591192,4977.72295523598,-18.59916565559659,-18.59916565559659,y,0.09860000000000001,y,_default_spsolve,gmres-phase,1,44,True,True,nan,6.274916160377671e-11,1.978935759020667e-12,6.274916795912181e-11,70.0270856320858,5.230307579040527e-06,39.601099357008934,19.027280375361443,10.658260196447372,0.5743274092674255,1.0,1e-05,-18.59916565559659,0.09860000000000001,18,54,True,1.3656798565805251e-06,8.465587326604055e-06,569.16796875
10924,7680,1384,standard,from_u,0.9761900698951882,5399.219929994902,-18.33825436769274,-18.33825436769274,y,0.1008,y,_default_spsolve,gmres-phase,1,45,True,True,nan,5.112934175407654e-11,2.46869935198267e-12,5.112933052573747e-11,71.68766908347607,5.379319190979004e-06,40.6482200473547,19.375725895166397,10.902604222297668,0.5910079479217529,1.0,1e-05,-18.33825436769274,0.1008,19,55,True,1.4840345262749168e-06,9.315234124856715e-06,573.39453125
