metric,value
solver_mode,standard:elastic_spsolve_parallel/phase_gmres_no_precond
history_source,from_u
n_load_steps,31
n_converged_steps,31
step_convergence_rate,1.0
total_wall_s,2909.42792186141
sum_step_s,2908.342120423913
avg_step_s,93.8174877556101
max_step_s,569.1141417324543
sum_elastic_assemble_s,1654.2150124758482
sum_elastic_solve_s,776.3253988325596
sum_phase_assemble_s,443.12823873758316
sum_phase_solve_s,28.722864001989365
avg_elastic_assemble_s_per_step,53.3617745959951
avg_elastic_solve_s_per_step,25.04275480105031
avg_phase_assemble_s_per_step,14.294459314115587
avg_phase_solve_s_per_step,0.926544000064173
avg_nonlinear_iters,70.80645161290323
max_nonlinear_iters,415
avg_linear_niter_elastic,1.0
avg_linear_niter_phase,43.774193548387096
elastic_linear_convergence_rate,1.0
phase_linear_convergence_rate,1.0
elastic_linear_res_avg,7.898391012247291e-12
elastic_linear_res_max,7.10282019557562e-11
phase_linear_res_avg,6.916251956782322e-11
phase_linear_res_max,9.947420326913819e-11
reaction_force_max,-0.0
reaction_force_min,-27.552257607020113
reaction_force_final,-0.8480292726594362
reaction_force_abs_max,27.552257607020113
reaction_force_abs_min,0.0
reaction_force_abs_final,0.8480292726594362
damage_max_final,0.9924568024645543
damage_max_peak,0.9924568024645543
