step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,10924,7680,1384,0.0,0.0,0.0,0.0,0.0,1.0,elastic_solver,gmres-phase,1,1,True,True,nan,nan,0.0,0.0,1.4717575162649155,0.00011914968490600586,1.5011117160320282,0.00019121170043945312,1.4718766659498215,1.5013029277324677,2.9741992950439453
1,0.014000000000000002,1,10924,7680,1384,0.412286363967128,0.09591367858361928,1.0,1.0,0.009184520955396602,1.0,elastic_solver,gmres-phase,1,37,True,True,nan,7.688030378691351e-11,9.344227274160263e-09,7.688030163804988e-11,1.345579206943512,2.399734765291214,0.6076012551784515,0.007236674427986145,3.745313972234726,0.6148379296064377,4.361133083701134
1,0.014000000000000002,2,10924,7680,1384,0.000198129388531345,0.00021158585024611394,0.00048056255517376766,0.002206002870191759,0.009235184415958685,1.0,elastic_solver,gmres-phase,1,34,True,True,nan,9.571791639445647e-11,8.850538912761237e-09,9.571792987075754e-11,1.7885035425424576,2.2157429605722427,0.6188770532608032,0.0060109943151474,4.0042465031147,0.6248880475759506,4.630009368062019
1,0.014000000000000002,3,10924,7680,1384,2.099579630515782e-06,3.094748850067746e-06,5.092527461527162e-06,3.226598015808233e-05,0.0092360695154445,1.0,elastic_solver,gmres-phase,1,33,True,True,nan,7.417852775456232e-11,8.849494316068103e-09,7.41785360874262e-11,1.6787166148424149,2.527281805872917,0.7153969407081604,0.005825415253639221,4.205998420715332,0.7212223559617996,4.928288325667381
1,0.014000000000000002,4,10924,7680,1384,3.2123114531033634e-08,5.182151923367604e-08,7.791456943163622e-08,5.402933137268539e-07,0.009236085264268267,1.0,elastic_solver,gmres-phase,1,33,True,True,nan,6.350578033258786e-11,8.850436300832135e-09,6.350576633172532e-11,1.8074404895305634,2.365965947508812,0.6627596914768219,0.005953863263130188,4.173406437039375,0.6687135547399521,4.843041613698006
2,0.028000000000000004,1,10924,7680,1384,0.4122431820164412,0.2815125887194457,1.0,1.0,0.035984995630329406,1.0,elastic_solver,gmres-phase,1,37,True,True,nan,7.93260079372424e-11,8.850399625858687e-09,7.932598519979638e-11,1.7103527635335922,2.7255570739507675,0.7075898796319962,0.007254496216773987,4.43590983748436,0.7148443758487701,5.151780009269714
2,0.028000000000000004,2,10924,7680,1384,0.0011786765683180962,0.0024266647706292993,0.00285917783419178,0.008620093267117457,0.03656509795692731,1.0,elastic_solver,gmres-phase,1,34,True,True,nan,9.389080690277165e-11,9.286406558671102e-09,9.389081039281264e-11,1.8083317875862122,2.6519843339920044,0.6932161152362823,0.00624239444732666,4.4603161215782166,0.699458509683609,5.160685583949089
2,0.028000000000000004,3,10924,7680,1384,4.9353338164754906e-05,0.00014066443300479682,0.00011971899189053558,0.0004996736865113426,0.03660536888737973,1.0,elastic_solver,gmres-phase,1,33,True,True,nan,7.305671326523564e-11,1.8664833172195774e-09,7.305670921057994e-11,1.7986208945512772,3.3133124113082886,0.7247609347105026,0.005793631076812744,5.111933305859566,0.7305545657873154,5.843747481703758
2,0.028000000000000004,4,10924,7680,1384,2.99905426964497e-06,9.354958652191457e-06,7.274963905953357e-06,3.323104907935244e-05,0.03660821746930025,1.0,elastic_solver,gmres-phase,1,33,True,True,nan,5.281028952730533e-11,9.956499560115196e-09,5.281030913506138e-11,1.81155164539814,3.3199383169412613,0.7296953648328781,0.005897700786590576,5.131489962339401,0.7355930656194687,5.868453830480576
2,0.028000000000000004,5,10924,7680,1384,1.9763174690228778e-07,6.442271196455861e-07,4.794057379811457e-07,2.288448706951504e-06,0.03660841863419276,1.0,elastic_solver,gmres-phase,1,32,True,True,nan,9.158452730617052e-11,9.945780891087061e-09,9.158452846182795e-11,1.8122489750385284,2.112771987915039,0.6273975670337677,0.00543135404586792,3.9250209629535675,0.6328289210796356,4.55867974460125
