metric,value
solver_mode,standard:elastic_single_aux/phase_gmres_no_precond
history_source,from_u
n_load_steps,3
n_converged_steps,3
step_convergence_rate,1.0
total_wall_s,56.13507555425167
sum_step_s,56.13065882027149
avg_step_s,18.710219606757164
max_step_s,29.078811705112457
sum_elastic_assemble_s,19.662841454148293
sum_elastic_solve_s,27.613552287220955
sum_phase_assemble_s,8.480876103043556
sum_phase_solve_s,0.04762980341911316
avg_elastic_assemble_s_per_step,6.554280484716098
avg_elastic_solve_s_per_step,9.204517429073652
avg_phase_assemble_s_per_step,2.8269587010145187
avg_phase_solve_s_per_step,0.015876601139704388
avg_nonlinear_iters,3.3333333333333335
max_nonlinear_iters,5
avg_linear_niter_elastic,1.0
avg_linear_niter_phase,22.0
elastic_linear_convergence_rate,1.0
phase_linear_convergence_rate,1.0
elastic_linear_res_avg,5.448258208375961e-09
elastic_linear_res_max,8.333646029859599e-09
phase_linear_res_avg,5.1696762658382956e-11
phase_linear_res_max,9.158456020113152e-11
reaction_force_max,-0.0
reaction_force_min,-11.745745174373162
reaction_force_final,-11.745745174373162
reaction_force_abs_max,11.745745174373162
reaction_force_abs_min,0.0
reaction_force_abs_final,11.745745174373162
damage_max_final,0.03660841863418985
damage_max_peak,0.03660841863418985
