step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,1952022,1417176,237169,0.0,38.11411552132796,0.0,1.0,1.0,1.0,solve_direct_pardiso,gmres-phase,1,224,True,True,nan,9.182145304941315e-11,0.0,9.182145713508908e-11,15.017351254820824,202.2006979882717,1.7636937499046326,4.228743389248848,217.21804924309254,5.9924371391534805,223.38698267936707
0,0.0,2,1952022,1417176,237169,0.0,6.98962751280347e-08,0.0,1.8338684807974104e-09,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,4.534869309549129e-14,14.815790995955467,206.35418260097504,1.0222893357276917,11.019173577427864,221.1699735969305,12.041462913155556,233.38331070542336
1,1e-05,1,1952022,1417176,237169,0.0,2.6154685238626647e-14,0.0,0.06349635348039935,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.1732781330881626e-14,14.729367509484291,205.2017417550087,1.0261849910020828,10.645233139395714,219.931109264493,11.671418130397797,231.77806282043457
1,1e-05,2,1952022,1417176,237169,0.0,4.85591717982434e-15,0.0,0.011788826013715793,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2284266796716328e-14,15.010325521230698,210.71446131169796,1.0815701484680176,10.912543997168541,225.72478683292866,11.994114145636559,237.89545780420303
1,1e-05,3,1952022,1417176,237169,0.0,1.2468607815724755e-15,0.0,0.0030270336731351194,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2065899222216788e-14,14.826398774981499,204.70422986149788,1.1377433836460114,10.772881627082825,219.53062863647938,11.910625010728836,231.61517623066902
1,1e-05,4,1952022,1417176,237169,0.0,1.5701164162106307e-16,0.0,0.00038118090911623987,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.231495821975921e-14,14.946691244840622,204.92558777332306,0.9719825983047485,10.703904122114182,219.87227901816368,11.67588672041893,231.7288045436144
1,1e-05,5,1952022,1417176,237169,0.0,1.1102230246251565e-16,0.0,0.000269531493002126,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2340062164145263e-14,14.98977817595005,208.92422035336494,0.9927577078342438,10.3002799898386,223.913998529315,11.293037697672844,235.38515746593475
1,1e-05,6,1952022,1417176,237169,0.0,0.0,0.0,0.0,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,15.03002581000328,205.62041759490967,0.9387256801128387,10.12401396036148,220.65044340491295,11.06273964047432,231.89298701286316
2,2e-05,1,1952022,1417176,237169,0.0,0.0,0.0,0.0,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,14.919166520237923,3.3126921355724335,0.9639548808336258,10.663911521434784,18.231858655810356,11.62786640226841,30.038763478398323
3,3.0000000000000004e-05,1,1952022,1417176,237169,0.0,0.0,0.0,0.0,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,2.2333803466570067e-14,14.896331146359444,3.3129140734672546,0.943494513630867,10.720526307821274,18.2092452198267,11.66402082145214,30.04949641227722
