gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d
1542675,1119744,187489,standard,from_u,1.0,0.0,-0.0,-0.0,y,0.0,y,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,3.981500657126267e-14,455.43740087747574,0.0058441609144210815,23.620324477553368,386.5250837355852,1.999449148774147,9.868788495659828,1.0,1e-05,-0.0,0.0,0,2,True,0.0,2.0385273524473433e-09
1542675,1119744,187489,standard,from_u,1.0,0.08102835295349961,-0.014657732446327787,-0.014657732446327787,y,0.0001,y,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,1.6625572653305536e-06,1.827387937398037e-15,515.5910200178623,5.602836608886719e-06,35.497259706258774,461.7866078913212,2.2831286191940308,12.89376287162304,1.0,1e-05,-0.014657732446327787,0.0001,1,3,True,8.089535661325611e-08,5.565702060681208e-07
1542675,1119744,187489,standard,from_u,1.0,0.08102835295349961,-0.014657732446327787,-0.014657732446327787,y,0.0001,y,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,1.6625572653305536e-06,1.827387937398037e-15,519.8707864582539,5.125999450683594e-06,34.55551637709141,466.38758566975594,2.3374341428279877,13.434798255562782,1.0,1e-05,-0.014657732446327787,0.0001,1,3,True,8.089535661325611e-08,5.565702060681208e-07
1542675,1119744,187489,standard,from_u,1.0,0.3264084787979791,-0.029307107579697327,-0.029307107579697327,y,0.0002,y,solve_direct_pardiso,gmres-phase,1,186,True,True,nan,3.2597879463878612e-09,4.279333050019049e-07,3.259787952285692e-09,453.7680114507675,4.559755325317383e-06,35.89949743449688,402.53076976537704,2.4892903715372086,9.836306124925613,1.0,1e-05,-0.029307107579697327,0.0002,2,3,True,3.1585941408753044e-07,6.22582641692957e-06
1542675,1119744,187489,standard,from_u,1.0,0.3264084787979791,-0.029307107579697327,-0.029307107579697327,y,0.0002,y,solve_direct_pardiso,gmres-phase,1,186,True,True,nan,3.2597879463878612e-09,4.279333050019049e-07,3.259787952285692e-09,462.6131984591484,4.26173210144043e-06,34.69054816663265,412.4202697277069,2.354822039604187,10.009940937161446,1.0,1e-05,-0.029307107579697327,0.0002,2,3,True,3.1585941408753044e-07,6.22582641692957e-06
1542675,1119744,187489,standard,from_u,1.0,0.743251066922511,-0.043939804260944654,-0.043939804260944654,y,0.00030000000000000003,y,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,7.676209999087675e-13,6.624834379964395e-16,605.0113134533167,5.230307579040527e-06,47.22473292052746,536.1876471489668,2.994744524359703,15.51321056485176,1.0,1e-05,-0.043939804260944654,0.00030000000000000003,3,4,True,9.439462799621452e-07,7.222513570311773e-07
1542675,1119744,187489,standard,from_u,1.0,0.743251066922511,-0.043939804260944654,-0.043939804260944654,y,0.00030000000000000003,y,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,7.676209999087675e-13,6.624834379964395e-16,599.5092560052872,4.0531158447265625e-06,45.18004833161831,531.8538001477718,2.8506176471710205,16.439683005213737,1.0,1e-05,-0.043939804260944654,0.00030000000000000003,3,4,True,9.439462799621452e-07,7.222513570311773e-07
1542675,1119744,187489,standard,from_u,1.0,1.344211262252721,-0.05854757681103399,-0.05854757681103399,y,0.0004,y,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,4.7590014744524236e-05,9.14874135861958e-15,901.6431102007627,4.4852495193481445e-06,69.12685197591782,796.8630283921957,4.482074216008186,27.663051515817642,1.0,1e-05,-0.05854757681103399,0.0004,4,6,True,2.942905985347361e-07,3.0818156626826493e-07
1542675,1119744,187489,standard,from_u,1.0,1.344211262252721,-0.05854757681103399,-0.05854757681103399,y,0.0004,y,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,4.7590014744524236e-05,9.14874135861958e-15,911.5813375115395,4.857778549194336e-06,71.91062542796135,804.7802658826113,4.487315878272057,26.956149846315384,1.0,1e-05,-0.05854757681103399,0.0004,4,6,True,2.942905985347361e-07,3.0818156626826493e-07
1542675,1119744,187489,standard,from_u,1.0,2.1488883651808734,-0.07312228788089808,-0.07312228788089808,y,0.0005,y,solve_direct_pardiso,gmres-phase,1,183,True,True,nan,6.708015091570613e-09,6.857607368173273e-07,6.708015090079307e-09,975.4061745852232,4.4405460357666016e-06,64.8098276257515,884.3425839394331,4.510203868150711,17.883155211806297,1.0,1e-05,-0.07312228788089808,0.0005,5,5,True,3.685596705227141e-07,1.2242403780964408e-06
