step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,d_relaxation,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,1542675,1119744,187489,0.0,34.62310863586314,0.0,1.0,1.0,1.0,solve_direct_pardiso,gmres-phase,1,224,True,True,nan,9.628517087987712e-11,0.0,9.628517010020394e-11,12.06237018108368,189.75073185563087,1.2725967317819595,3.873565226793289,201.81310203671455,5.146161958575249,207.1009660512209
0,0.0,2,1542675,1119744,187489,0.0,7.058015398096283e-08,0.0,2.0385273524473433e-09,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,3.981500657126267e-14,11.823176428675652,194.4780195504427,0.7408714890480042,6.148137778043747,206.30119597911835,6.889009267091751,213.3293274641037
0,0.0,2,1542675,1119744,187489,0.0,7.058015398096283e-08,0.0,2.0385273524473433e-09,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,0.0,3.981500657126267e-14,11.557954296469688,196.77435187995434,0.7268524169921875,5.995223268866539,208.33230617642403,6.7220756858587265,215.19350165128708
1,0.0001,1,1542675,1119744,187489,0.04693604352341891,0.004417879186564966,1.0,1.0,1.0,1.0,solve_direct_pardiso,gmres-phase,1,235,True,True,nan,9.509314727507775e-11,0.00017190128055578178,9.5093143499331e-11,11.174353867769241,187.13868355751038,0.7432287633419037,3.734259322285652,198.31303742527962,4.477488085627556,202.92622469365597
1,0.0001,1,1542675,1119744,187489,0.04693604352341891,0.004417879186564966,1.0,1.0,1.0,1.0,solve_direct_pardiso,gmres-phase,1,235,True,True,nan,9.509314727507775e-11,0.00017190128055578178,9.5093143499331e-11,11.882629826664925,191.08543556928635,0.7769178152084351,4.093998819589615,202.96806539595127,4.87091663479805,207.9855898320675
1,0.0001,2,1542675,1119744,187489,1.781811152755572e-06,8.671672316489651e-07,3.796253409954614e-05,0.00019628586365287495,1.0,1.0,solve_direct_pardiso,gmres-phase,1,214,True,True,nan,3.1667911466923867e-10,1.3087352992773657e-06,3.166791158992663e-10,11.862955808639526,137.34007021784782,0.7748399972915649,3.297046259045601,149.20302602648735,4.071886256337166,153.4160273373127
1,0.0001,2,1542675,1119744,187489,1.781811152755572e-06,8.671672316489651e-07,3.796253409954614e-05,0.00019628586365287495,1.0,1.0,solve_direct_pardiso,gmres-phase,1,214,True,True,nan,3.1667911466923867e-10,1.3087352992773657e-06,3.166791158992663e-10,11.317378640174866,138.52814701199532,0.831874668598175,3.5630122870206833,149.84552565217018,4.394886955618858,154.3792002350092
1,0.0001,3,1542675,1119744,187489,3.796907978842282e-09,2.4588599292505254e-09,8.089535661325611e-08,5.565702060681208e-07,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,1.6625572653305536e-06,1.827387937398037e-15,12.459950029850006,137.30785411596298,0.7650598585605621,5.862457290291786,149.767804145813,6.627517148852348,156.53551986813545
1,0.0001,3,1542675,1119744,187489,3.796907978842282e-09,2.4588599292505254e-09,8.089535661325611e-08,5.565702060681208e-07,1.0,1.0,solve_direct_pardiso,spsolve-phase-fallback,1,1,True,True,nan,0.0,1.6625572653305536e-06,1.827387937398037e-15,11.355507910251617,136.77400308847427,0.7286416590213776,5.777787148952484,148.1295109987259,6.506428807973862,154.8003632426262
2,0.0002,1,1542675,1119744,187489,0.04693678871089128,0.013250822382829885,1.0,1.0,1.0,1.0,solve_direct_pardiso,gmres-phase,1,235,True,True,nan,9.498490476121357e-11,0.000328997539953746,9.498490583330873e-11,11.957381427288055,136.3845234811306,0.9075939506292343,3.531253457069397,148.34190490841866,4.438847407698631,152.91831488907337
