gdof_sigma,gdof_u,gdof_d,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,reaction_y,disp_y,step,iters,converged,err_u,err_d
34243,24576,1089,1.0,0.0,-0.0,-0.0,y,0.0,y,0.0,4.199791386102458e-16,9.207147000357509,2.49580480158329e-05,2.1590559580363333,5.79703929182142,0.05290191667154431,0.004647416062653065,-0.0,0.0,0,3,True,0.0,0.0
34243,24576,1089,1.0,1.480192039945396,-15.070543419896602,-15.070543419896602,y,0.0001,y,1.501308396268957e-08,3.0668947395465705e-16,7.870910666882992,6.041955202817917e-06,1.9803007491864264,5.724999249447137,0.12515358347445726,0.006241875234991312,-15.070543419896602,0.0001,1,3,True,2.760228158859466e-07,1.7680755390816952e-06
34243,24576,1089,1.0,5.951776984919276,-30.075538873819244,-30.075538873819244,y,0.0002,y,1.1037718560608168e-08,3.2380075886271754e-16,10.362436334136873,2.375338226556778e-06,2.7878048750571907,7.468031667172909,0.06862995680421591,0.005630291998386383,-30.075538873819244,0.0002,2,4,True,3.421510803849083e-08,1.4598370145734365e-07
34243,24576,1089,1.0,13.506944579202585,-44.951687577908466,-44.951687577908466,y,0.00030000000000000003,y,1.2928381402662528e-08,3.997396345072219e-16,10.67636179085821,3.125052899122238e-06,2.9543263339437544,7.608462289907038,0.07296800054609776,0.005763250403106213,-44.951687577908466,0.00030000000000000003,3,4,True,3.988863229311088e-07,1.523499188415324e-06
34243,24576,1089,1.0,24.296433944565003,-59.64015870470417,-59.64015870470417,y,0.0004,y,1.4006514172003845e-08,4.602867076125988e-16,12.505205791909248,2.2919848561286926e-06,3.335852709133178,9.003894416615367,0.10524966660887003,0.007531624287366867,-59.64015870470417,0.0004,4,4,True,2.095024576099255e-06,7.574190479266358e-06
34243,24576,1089,1.0,38.52482154530982,-74.08868475362748,-74.08868475362748,y,0.0005,y,1.7228996573122752e-08,4.122440977497841e-16,13.51104854233563,2.874992787837982e-06,3.8870978741906583,9.486286916770041,0.08996337512508035,0.007294752169400454,-74.08868475362748,0.0005,5,5,True,2.0963549992171592e-07,7.334273400122062e-07
34243,24576,1089,1.0,56.44337912765422,-88.25342448108856,-88.25342448108856,y,0.0006000000000000001,y,1.6130328666575193e-08,3.800484019162013e-16,12.668185249902308,3.2922253012657166e-06,3.2739733341149986,9.260926918126643,0.08892545895650983,0.0074716671369969845,-88.25342448108856,0.0006000000000000001,6,5,True,7.170628398092937e-07,2.445234862017748e-06
34243,24576,1089,1.0,78.34057082217694,-102.10034356287791,-102.10034356287791,y,0.0007,y,8.097590806498921e-09,3.731268796211757e-16,13.37496304186061,8.291099220514297e-06,3.730021208524704,9.507032168097794,0.09335441840812564,0.008516541682183743,-102.10034356287791,0.0007,7,5,True,1.8642403560476206e-06,6.229285722723423e-06
34243,24576,1089,1.0,104.53066054084573,-115.60594143621717,-115.60594143621717,y,0.0008,y,1.1198020760272567e-08,4.0803910076947656e-16,17.084354459308088,3.0831433832645416e-06,4.416332915890962,12.376939582638443,0.22829725267365575,0.009484874550253153,-115.60594143621717,0.0008,8,6,True,2.3947223796049775e-07,7.888828070063363e-07
34243,24576,1089,1.0,135.3415013311822,-128.7571700935123,-128.7571700935123,y,0.0009000000000000001,y,7.460967781369925e-09,3.267297450193598e-16,16.973704458214343,2.5420449674129486e-06,4.434280165936798,12.380320792086422,0.10969658242538571,0.00906016631051898,-128.7571700935123,0.0009000000000000001,9,6,True,4.936428859907538e-07,1.6035593134346205e-06
34243,24576,1089,1.0,171.10358904158412,-141.55041215770703,-141.55041215770703,y,0.001,y,9.337656437293212e-09,4.811319889941057e-16,15.422130791004747,2.125278115272522e-06,4.12384270876646,11.138192999176681,0.11293966649100184,0.008885123766958714,-141.55041215770703,0.001,10,6,True,8.648854858497453e-07,2.800257804244719e-06
