step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,17120,12120,2150,0.0,0.0,0.0,0.0,0.0,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,0.0,0.0,0.4057174576446414,0.3749231668189168,0.02421495784074068,0.002815208863466978,0.7806406244635582,0.02703016670420766,0.8091905419714749
1,0.014000000000000002,1,17120,12120,2150,0.5157150632763298,0.28139036442825843,1.0,1.0,0.018067911268496703,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,5.8944053407039975e-12,3.60848181122865e-15,0.11688945814967155,0.3319743750616908,0.020975458901375532,0.0028654588386416435,0.44886383321136236,0.023840917740017176,0.47350004222244024
1,0.014000000000000002,2,17120,12120,2150,0.009111296687154496,0.01643142221590302,0.017667307658749718,0.058393691799963086,0.01936471860344521,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.732973736924641e-12,3.4312879210157296e-15,0.12382049998268485,0.3868787093088031,0.020171707961708307,0.0029012500308454037,0.5106992092914879,0.02307295799255371,0.534486916847527
1,0.014000000000000002,3,17120,12120,2150,0.0005130191472238004,0.0009654671475857139,0.00099477246982975,0.0034310597292391064,0.019439875138551947,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.128776472019831e-11,3.3116103798333844e-15,0.11548929195851088,0.3748408746905625,0.02002187492325902,0.002810582984238863,0.49033016664907336,0.022832457907497883,0.5138862919993699
1,0.014000000000000002,4,17120,12120,2150,2.871973491747367e-05,5.8951284819862335e-05,5.568915271742819e-05,0.0002095000123392363,0.019443115140834716,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.214900330285067e-12,2.7563289213173032e-15,0.15072124963626266,0.37458495795726776,0.02086733328178525,0.0031460830941796303,0.5253062075935304,0.02401341637596488,0.5501217502169311
1,0.014000000000000002,5,17120,12120,2150,1.951189461711334e-06,4.959134546600063e-06,3.783464165881558e-06,1.7623682874416312e-05,0.01944337314651767,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.25652144162202e-11,3.0047008012449787e-15,0.12248804187402129,0.3657853747718036,0.020298791117966175,0.0027810423634946346,0.4882734166458249,0.02307983348146081,0.5121533749625087
1,0.014000000000000002,6,17120,12120,2150,1.8097539545953755e-07,4.0569339888203554e-07,3.509212903532499e-07,1.4417458810515477e-06,0.019443411046264895,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.456763192011686e-12,2.972926342349131e-15,0.12127458397299051,0.3760263752192259,0.022110125049948692,0.002954124938696623,0.4973009591922164,0.025064249988645315,0.5231162905693054
2,0.028000000000000004,1,17120,12120,2150,0.5237770692904196,0.8485973191846914,1.0,1.0,0.07382615276481475,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.6347700952116416e-11,3.2726574341886205e-15,0.119441082701087,0.3767368751578033,0.02030850015580654,0.002773500047624111,0.4961779578588903,0.023082000203430653,0.5201448327861726
2,0.028000000000000004,2,17120,12120,2150,0.05943692359857575,0.21031382242242236,0.11347752141783751,0.2478370101669494,0.09070286310504866,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.1073410854362347e-11,3.0144181901818716e-15,0.11579741723835468,0.41146920900791883,0.02053925022482872,0.0028275419026613235,0.5272666262462735,0.023366792127490044,0.5514541659504175
2,0.028000000000000004,3,17120,12120,2150,0.015180723743749265,0.05863986361483246,0.028983177450504202,0.06910210801887992,0.0957420956773424,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,8.696079064818795e-12,2.612279025058407e-15,0.11677691573277116,0.37757462495937943,0.019892666023224592,0.0028799576684832573,0.4943515406921506,0.02277262369170785,0.517879624851048
