gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,reaction_y,disp_y,step,iters,converged,err_u,err_d
76099,54660,9379,standard,from_u,0.0,0.0,-0.0,-0.0,y,0.0,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,0.0,0.0,6.6743400832638144,9.708106517791748e-06,4.611214916687459,0.07223499985411763,0.37229216704145074,0.03724383283406496,-0.0,0.0,0,1,True,0.0,0.0
76099,54660,9379,standard,from_u,0.0022678985238739056,0.06943329484354974,-3.101372616897683,-3.101372616897683,y,0.007000000000000001,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,9.188385250816039e-09,2.972124192942283e-15,146.16388558410108,7.320893928408623e-05,6.425885541364551,138.56806191662326,0.8935804991051555,0.0879444582387805,-3.101372616897683,0.007000000000000001,1,3,True,2.483361481326172e-07,1.7076705661717295e-06
76099,54660,9379,standard,from_u,0.009042891915896979,0.2761176635386443,-6.1616867616670365,-6.1616867616670365,y,0.014000000000000002,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,8.129413810659805e-09,2.980711117980468e-15,170.68226800020784,3.082677721977234e-06,6.495911667123437,163.37556012533605,0.5156163745559752,0.09544004313647747,-6.1616867616670365,0.014000000000000002,2,4,True,9.30560289977835e-08,4.512938774910033e-07
76099,54660,9379,standard,from_u,0.0202408422120708,0.6104942682652331,-9.14143308698467,-9.14143308698467,y,0.021000000000000005,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,5.872977474027399e-09,3.2204654487586328e-15,175.64320437517017,3.1669624149799347e-06,6.695323499850929,168.06368487514555,0.5934379599057138,0.09916008403524756,-9.14143308698467,0.021000000000000005,3,4,True,1.1681416029243734e-06,5.088270445235974e-06
76099,54660,9379,standard,from_u,0.035732792036606585,1.054183507374383,-12.004108333764592,-12.004108333764592,y,0.028000000000000004,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,5.289899836360861e-09,3.1388600040239466e-15,222.0880596251227,3.2498501241207123e-06,8.253375624772161,212.89241341734305,0.6518799182958901,0.11961970664560795,-12.004108333764592,0.028000000000000004,4,5,True,4.5142742049905257e-07,1.924345282017672e-06
76099,54660,9379,standard,from_u,0.05536478786236792,1.607620781547423,-14.717421875981286,-14.717421875981286,y,0.035,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,5.787920254567044e-09,2.7190679661253663e-15,236.32679233280942,4.583969712257385e-06,9.389894999098033,225.85954804345965,0.7325372505001724,0.14691004296764731,-14.717421875981286,0.035,5,6,True,2.877060970752388e-07,1.2098342984244844e-06
76099,54660,9379,standard,from_u,0.07898912004795966,2.3394396146249306,-17.254142078885078,-17.254142078885078,y,0.04200000000000001,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,6.574569259034799e-09,2.8341544024394365e-15,254.13436887506396,3.125052899122238e-06,10.205883165821433,242.7178726256825,0.8340585832484066,0.16085237357765436,-17.254142078885078,0.04200000000000001,6,6,True,1.7917001972706627e-06,7.4110545949581835e-06
76099,54660,9379,standard,from_u,0.10651359991417757,3.25372514611339,-19.592498742888875,-19.592498742888875,y,0.04900000000000001,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,9.676751833270438e-09,2.750895003078762e-15,347.7683467087336,2.9169023036956787e-06,13.52646691724658,332.5041356277652,1.219939707312733,0.19808462727814913,-19.592498742888875,0.04900000000000001,7,7,True,1.7395912450421182e-06,7.174722595335889e-06
76099,54660,9379,standard,from_u,0.13798389001643668,4.367369358928217,-21.716071270461978,-21.716071270461978,y,0.05600000000000001,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,9.721108760224292e-09,2.8561848320642432e-15,453.0243881251663,3.291759639978409e-06,15.852915291674435,435.2157837478444,1.4231009581126273,0.2421037508174777,-21.716071270461978,0.05600000000000001,8,8,True,2.3653708306843807e-06,9.745211147532314e-06
76099,54660,9379,standard,from_u,0.17374131753566133,5.7253722166298555,-23.612960201750273,-23.612960201750273,y,0.06300000000000001,y,elastic_solver,_default_spsolve,1,1,True,True,nan,nan,4.594035581709417e-09,2.272677581213616e-15,572.964298625011,3.500375896692276e-06,21.51739500137046,548.7966334992088,1.9992786250077188,0.28914275066927075,-23.612960201750273,0.06300000000000001,9,10,True,1.4992954619722887e-06,6.1869072614213896e-06
