step,load,iter,gdof_sigma,gdof_u,gdof_d,du_abs,dd_abs,err_u,err_d,max_d,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_elastic_assemble_iter_s,t_elastic_solve_iter_s,t_phase_assemble_iter_s,t_phase_solve_iter_s,t_elastic_iter_total_s,t_phase_iter_total_s,t_iter_s
0,0.0,1,319114,230688,38996,0.0,0.0,0.0,0.0,0.0,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,0.0,0.0,27.30433408403769,283.8619437920861,1.0788449170067906,0.49877787521108985,311.1662778761238,1.5776227922178805,315.8543352079578
1,0.014000000000000002,4,319114,230688,38996,1.3630151440039386e-07,2.4162359855570744e-07,6.128685415799754e-08,4.4386014961695833e-07,0.009057368450120406,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.1708642531297274e-09,1.6264571917512888e-14,26.64761891728267,267.7633710000664,1.291310708038509,0.3418131247162819,294.41098991734907,1.6331238327547908,299.3353157090023
2,0.028000000000000004,2,319114,230688,38996,0.0067303908635792655,0.011266330406250668,0.0030266441163393403,0.007058717987874035,0.035754929406598385,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.6237217582515857e-09,1.662334865381725e-14,12.344854542054236,284.9823047090322,0.8852231670171022,0.28603037539869547,297.3271592510864,1.1712535424157977,301.4377654995769
1,0.014000000000000002,1,319114,230688,38996,2.2239926697658277,0.5443687584123589,1.0,1.0,0.009017343466406388,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,3.839495328529345e-10,1.7338632390807898e-14,13.30861891573295,276.02033229218796,0.776913333684206,0.5083987079560757,289.3289512079209,1.2853120416402817,293.45869695814326
2,0.028000000000000004,1,319114,230688,38996,2.223713989776745,1.5960873384663854,1.0,1.0,0.03530422693639419,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.5532002016303356e-09,1.6755269336117977e-14,19.091607457958162,259.1566707906313,0.8596947090700269,0.46967620914801955,278.2482782485895,1.3293709182180464,284.27534537529573
2,0.028000000000000004,2,319114,230688,38996,0.0067303908635792655,0.011266330406250668,0.0030266441163393403,0.007058717987874035,0.035754929406598385,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.6237217582515857e-09,1.662334865381725e-14,17.039850291330367,292.157133708708,0.6328531252220273,0.2752086669206619,309.19698400003836,0.9080617921426892,313.3252130416222
2,0.028000000000000004,3,319114,230688,38996,0.00020421317864109485,0.0006584593891450441,9.183428245715957e-05,0.0004125459636674586,0.03578535855357913,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,8.824385150035552e-09,1.519028413574947e-14,32.94847583398223,287.8261713339016,0.6950687090866268,0.25837779184803367,320.7746471678838,0.9534465009346604,324.4898988753557
1,0.014000000000000002,2,319114,230688,38996,0.0011309882364619846,0.0009826647289706404,0.0005085395522374049,0.0018051453427205548,0.009056686981112293,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,4.131238723677744e-10,1.6280800767380973e-14,33.063261250033975,287.43662712490186,0.6982783330604434,0.3246651249937713,320.49988837493584,1.0229434580542147,324.355590000283
2,0.028000000000000004,4,319114,230688,38996,1.2658268848249384e-05,4.337416965983769e-05,5.6923996999813095e-06,2.7175310908433208e-05,0.035787478978848104,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.341822239130168e-10,1.500084931169256e-14,27.370568917132914,234.2303057918325,0.5245665842667222,0.2506135832518339,261.6008747089654,0.7751801675185561,265.389659375418
2,0.028000000000000004,3,319114,230688,38996,0.00020421317864109485,0.0006584593891450441,9.183428245715957e-05,0.0004125459636674586,0.03578535855357913,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,8.824385150035552e-09,1.519028413574947e-14,26.98353683296591,234.67734875017777,0.5799275408498943,0.26103212498128414,261.6608855831437,0.8409596658311784,265.783495250158
1,0.014000000000000002,3,319114,230688,38996,8.690109659896523e-06,1.4534910867520905e-05,3.907436287014173e-06,2.6700486835268976e-05,0.009057356689111404,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.8973555824921925e-10,1.5217779248126747e-14,27.094780874904245,233.92347900010645,0.5966894999146461,0.2672067917883396,261.0182598750107,0.8638962917029858,265.3227629577741
2,0.028000000000000004,5,319114,230688,38996,8.334545349070241e-07,2.9357353159873397e-06,3.748029372206723e-07,1.8393325009445703e-06,0.03578762742276306,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.207608374404987e-10,1.4737791153387013e-14,23.36699420819059,243.30544858286157,0.780330958776176,0.2836686670780182,266.67244279105216,1.0639996258541942,270.4707043748349
1,0.014000000000000002,4,319114,230688,38996,1.3630151440039386e-07,2.4162359855570744e-07,6.128685415799754e-08,4.4386014961695833e-07,0.009057368450120406,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.1708642531297274e-09,1.6264571917512888e-14,21.73480554204434,244.949573750142,0.7925840839743614,0.2587257078848779,266.68437929218635,1.0513097918592393,270.40254604117945
2,0.028000000000000004,4,319114,230688,38996,1.2658268848249384e-05,4.337416965983769e-05,5.6923996999813095e-06,2.7175310908433208e-05,0.035787478978848104,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.341822239130168e-10,1.500084931169256e-14,21.823473167140037,245.3033073344268,0.7901272079907358,0.2578481659293175,267.1267805015668,1.0479753739200532,270.6926115420647
2,0.028000000000000004,1,319114,230688,38996,2.223713989776745,1.5960873384663854,1.0,1.0,0.03530422693639419,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.5532002016303356e-09,1.6755269336117977e-14,24.199729499872774,285.4642231250182,0.6063847499899566,0.30673887534067035,309.66395262489095,0.913123625330627,313.5212045828812
3,0.04200000000000001,1,319114,230688,38996,2.2228897846195954,2.5432174927809377,1.0,1.0,0.0771669795444239,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.708604245469535e-10,1.6613759963451193e-14,25.14663066715002,285.34401666605845,0.8292061667889357,0.5400029169395566,310.49064733320847,1.3692090837284923,314.67509862501174
2,0.028000000000000004,5,319114,230688,38996,8.334545349070241e-07,2.9357353159873397e-06,3.748029372206723e-07,1.8393325009445703e-06,0.03578762742276306,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.207608374404987e-10,1.4737791153387013e-14,34.58101449999958,282.9427649588324,2.2371255829930305,0.3451812919229269,317.523779458832,2.5823068749159575,325.07501624990255
2,0.028000000000000004,2,319114,230688,38996,0.0067303908635792655,0.011266330406250668,0.0030266441163393403,0.007058717987874035,0.035754929406598385,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.6237217582515857e-09,1.662334865381725e-14,26.81315145920962,267.92828629072756,0.6494883745908737,0.2663178751245141,294.7414377499372,0.9158062497153878,298.5681056249887
3,0.04200000000000001,1,319114,230688,38996,2.2228897846195954,2.5432174927809377,1.0,1.0,0.0771669795444239,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.708604245469535e-10,1.6613759963451193e-14,15.678872041869909,267.0251500001177,0.5734132500365376,0.304989708121866,282.7040220419876,0.8784029581584036,286.1896590422839
3,0.04200000000000001,2,319114,230688,38996,0.01665146737678964,0.040281258155064156,0.007490910027120043,0.015838699705945213,0.07877955224645498,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.0568025889392836e-09,1.5482235383025653e-14,20.930441915988922,273.1932054157369,0.5886204997077584,0.3073805836029351,294.1236473317258,0.8960010833106935,297.6736865420826
3,0.04200000000000001,3,319114,230688,38996,0.0011381954831672428,0.005202173060498917,0.000512034150789902,0.0020455085242475604,0.07902095606694769,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.634324158589483e-10,1.5191281641329678e-14,20.569981624837965,245.66637600027025,0.5563929593190551,0.27670966600999236,266.2363576251082,0.8331026253290474,269.6416707909666
2,0.028000000000000004,3,319114,230688,38996,0.00020421317864109485,0.0006584593891450441,9.183428245715957e-05,0.0004125459636674586,0.03578535855357913,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,8.824385150035552e-09,1.519028413574947e-14,21.98926766589284,244.65896358294412,0.5862842500209808,0.2875449163839221,266.64823124883696,0.8738291664049029,269.9746266249567
3,0.04200000000000001,2,319114,230688,38996,0.01665146737678964,0.040281258155064156,0.007490910027120043,0.015838699705945213,0.07877955224645498,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.0568025889392836e-09,1.5482235383025653e-14,20.853836750146,245.85392212495208,0.6295444159768522,0.388282333035022,266.7077588750981,1.0178267490118742,270.1298350417055
3,0.04200000000000001,4,319114,230688,38996,0.0001558488690854669,0.0007600725697917614,7.011092954936469e-05,0.0002988625911662172,0.07905833255723718,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,2.4803447620284117e-09,1.4575745474245618e-14,26.72117012506351,235.83996087498963,0.603039083071053,0.26718795811757445,262.56113100005314,0.8702270411886275,266.01930837519467
2,0.028000000000000004,4,319114,230688,38996,1.2658268848249384e-05,4.337416965983769e-05,5.6923996999813095e-06,2.7175310908433208e-05,0.035787478978848104,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,7.341822239130168e-10,1.500084931169256e-14,25.41745604109019,237.3034976250492,0.6219561668112874,0.2795912907458842,262.7209536661394,0.9015474575571716,266.1007791250013
3,0.04200000000000001,3,319114,230688,38996,0.0011381954831672428,0.005202173060498917,0.000512034150789902,0.0020455085242475604,0.07902095606694769,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,6.634324158589483e-10,1.5191281641329678e-14,22.22586154192686,240.67551924986765,0.6634637918323278,0.42124837497249246,262.9013807917945,1.0847121668048203,266.19806987512857
2,0.028000000000000004,5,319114,230688,38996,8.334545349070241e-07,2.9357353159873397e-06,3.748029372206723e-07,1.8393325009445703e-06,0.03578762742276306,_default_spsolve,_default_spsolve,1,1,True,True,nan,nan,1.207608374404987e-10,1.4737791153387013e-14,16.458023791201413,271.5305135832168,0.5236891251988709,0.22682016668841243,287.98853737441823,0.7505092918872833,291.7985666668974
