metric,value
solver_mode,standard:direct/spsolve
history_source,from_u
n_load_steps,31
n_converged_steps,31
step_convergence_rate,1.0
total_wall_s,11579.920576999895
sum_step_s,11579.887752460316
avg_step_s,373.5447662083973
max_step_s,4534.721277082805
sum_elastic_assemble_s,2949.3018775577657
sum_elastic_solve_s,8365.931924981996
sum_phase_assemble_s,176.65688456594944
sum_phase_solve_s,46.754100332502276
avg_elastic_assemble_s_per_step,95.13877024379889
avg_elastic_solve_s_per_step,269.86877177361276
avg_phase_assemble_s_per_step,5.698609179546756
avg_phase_solve_s_per_step,1.5081967849194282
avg_nonlinear_iters,59.064516129032256
max_nonlinear_iters,714
avg_linear_niter_elastic,1.0
avg_linear_niter_phase,1.0
elastic_linear_convergence_rate,1.0
phase_linear_convergence_rate,1.0
elastic_linear_res_avg,1.7356844676555478e-11
elastic_linear_res_max,9.629798617325994e-11
phase_linear_res_avg,1.2172837931803648e-15
phase_linear_res_max,3.28402624997474e-15
reaction_force_max,-0.0
reaction_force_min,-28.165357991197634
reaction_force_final,-0.027082100168787825
damage_max_final,1.0
damage_max_peak,1.0
